id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USW00013724,3.38,2.15,4.68,3.06,2.21,4.30,6.04,11.78,6.43,0.01,2.14,1.42,2000
USC00281351,3.33,1.96,6.70,2.81,3.84,4.56,8.39,5.99,4.19,0.34,1.96,2.23,2000
USC00283029,3.70,2.60,3.42,3.08,4.58,3.75,4.54,6.61,4.36,0.95,2.44,5.21,2000
USC00284887,2.80,1.50,2.78,3.32,3.89,5.31,7.30,4.58,3.66,0.54,4.08,4.74,2000
USC00288194,2.97,2.56,3.37,2.66,5.01,3.60,4.25,8.22,4.64,1.32,3.34,3.60,2000
USW00014734,3.39,1.60,3.43,3.57,5.66,3.43,6.29,4.72,4.58,0.54,2.72,3.43,2000
USC00283181,3.21,0.80,3.48,3.29,3.57,2.19,4.01,5.43,5.93,0.56,3.47,3.24,2000
USC00288816,3.80,4.58,3.39,2.94,3.64,5.00,7.75,3.57,7.81,0.58,3.83,2.32,2000
USC00287587,3.24,2.57,3.69,3.61,4.71,7.22,6.10,3.98,3.53,1.05,3.33,4.80,2000
USC00284635,3.17,2.25,3.63,2.56,4.74,2.31,5.60,7.62,5.18,1.04,3.12,3.06,2000
USC00286146,2.68,1.84,3.16,3.62,3.18,5.19,6.64,3.73,5.64,0.54,3.55,2.60,2000
USW00014792,2.58,1.84,3.72,2.52,4.81,2.23,5.96,5.96,5.93,0.95,2.92,2.46,2000
USC00280927,2.91,2.04,3.20,2.52,4.98,3.01,5.37,6.30,4.58,0.79,3.54,3.63,2000
USC00287865,2.20,1.31,3.78,3.93,4.66,2.96,6.60,3.34,4.80,0.61,3.80,2.70,2000
USW00093780,2.27,1.85,4.47,2.44,1.43,3.25,3.49,5.74,3.71,0.05,2.84,3.40,2000
USC00280690,3.16,2.66,6.89,2.43,2.15,3.83,5.97,4.62,6.16,0.00,4.99,1.87,2000
USC00288173,3.93,2.01,5.57,3.37,3.02,4.17,3.48,7.01,7.69,1.23,2.93,3.22,2000
USC00286843,3.06,1.74,3.26,2.74,4.96,2.84,3.61,6.20,6.59,0.87,3.54,3.30,2000
USC00283951,2.31,2.18,3.90,2.79,4.62,3.46,6.03,6.92,5.85,0.93,2.82,4.42,2000
USW00093730,4.30,2.26,5.13,2.66,2.17,4.64,7.88,7.44,4.19,0.06,3.66,2.31,2000
USC00281327,3.50,2.98,3.50,3.34,4.27,6.29,6.76,4.33,3.21,1.15,2.85,7.90,2000
USC00283935,3.56,2.63,3.65,4.41,3.53,7.47,5.87,3.93,3.46,1.51,2.36,6.38,2000
USW00013735,2.63,1.89,6.28,3.24,2.48,4.01,4.04,4.43,4.41,0.07,3.95,2.01,2000
USC00285728,3.85,2.12,5.77,4.06,3.47,3.97,3.40,5.17,8.47,1.73,2.71,3.34,2000
USC00288644,2.65,2.87,3.52,5.13,4.42,5.20,6.01,4.11,3.61,1.06,2.29,5.97,2000
USC00280734,3.07,2.36,4.00,5.17,5.20,6.06,6.32,4.04,2.26,1.17,1.70,4.17,2000
USC00286055,3.28,1.97,4.12,3.16,4.16,3.28,4.04,6.25,4.30,0.65,3.35,4.60,2000
USC00282023,2.81,1.47,3.53,2.91,6.76,3.35,5.44,6.22,4.19,0.80,4.05,4.70,2000
USC00287301,3.54,1.74,4.22,4.04,5.87,6.15,5.11,7.07,2.99,0.80,3.14,5.22,2000
USC00289832,2.55,2.17,3.04,3.28,3.26,5.46,8.68,4.59,3.96,0.48,3.69,3.37,2000
USC00280990,3.49,2.16,1.86,3.02,2.43,2.86,7.60,5.59,6.08,0.28,2.21,2.30,2000
USC00289363,3.70,2.42,3.61,2.86,3.93,2.86,5.57,7.31,4.18,1.01,3.58,3.58,2000
USW00054779,1.63,2.81,2.20,1.71,3.48,2.28,5.07,4.81,4.00,1.09,2.08,4.27,2000
USW00054785,0.69,2.56,3.41,2.61,2.91,2.47,3.98,8.90,3.31,1.05,2.85,2.43,2000
USC00284229,3.10,1.40,5.34,2.55,3.13,4.26,4.83,7.13,7.69,2.01,3.16,3.56,2000
USW00054743,2.69,2.30,3.53,3.15,3.37,5.09,6.66,5.00,4.68,0.59,3.96,3.25,2000
USC00283704,2.87,1.84,3.58,4.06,4.57,1.93,6.99,3.83,5.83,0.57,4.04,3.69,2000
USC00283516,4.04,2.77,3.73,3.37,4.46,6.43,8.13,3.80,3.11,1.19,3.70,4.99,2000
USC00287079,3.74,1.94,3.80,3.26,6.57,3.47,7.29,8.14,4.01,0.66,3.42,4.84,2000
USC00282805,3.57,2.30,7.37,3.20,2.68,6.16,5.17,9.22,4.67,0.11,4.37,2.92,2000
USC00287936,3.26,1.96,7.31,3.23,2.31,4.38,3.53,4.55,4.87,0.24,3.10,3.07,2000
USC00285003,3.91,2.26,3.71,3.35,4.96,5.46,3.39,4.65,1.82,0.72,3.13,4.73,2000
USC00286460,3.51,3.06,3.57,3.43,4.65,5.59,7.50,5.34,3.16,1.29,2.78,5.28,2000
USC00281582,3.89,2.94,3.80,3.74,4.36,5.74,4.34,2.44,2.99,0.86,3.32,5.85,2000
USC00289187,3.50,2.46,3.69,3.89,4.38,5.41,8.11,3.11,3.91,1.00,3.91,4.43,2000
USW00094741,2.24,1.54,3.22,3.75,4.25,4.96,6.58,3.61,5.35,0.69,3.75,3.23,2000
USW00013724,2.68,2.31,4.05,1.42,0.78,4.59,2.52,2.88,1.27,0.99,0.85,1.26,2001
USC00281351,3.07,2.51,5.06,1.68,1.70,4.69,6.17,5.45,2.03,1.06,0.79,1.60,2001
USC00283029,3.14,3.43,5.35,2.10,4.75,8.57,5.48,5.09,5.10,0.53,0.91,2.31,2001
USC00284887,1.45,1.99,4.72,2.29,3.04,7.43,1.76,4.56,5.45,0.82,1.36,2.65,2001
USC00288194,2.83,2.85,4.41,1.82,4.85,6.96,3.18,2.88,3.75,0.58,0.76,2.24,2001
USW00014734,2.57,1.80,6.69,1.70,2.89,3.98,2.30,1.97,4.29,0.46,0.81,2.00,2001
USC00285003,2.83,3.11,4.49,1.41,4.18,5.61,3.59,4.99,2.33,0.50,0.99,2.67,2001
USC00283181,3.36,2.46,8.20,1.88,1.81,4.05,4.10,2.00,1.72,1.00,0.87,2.29,2001
USW00013735,2.73,2.74,4.30,1.27,2.57,4.61,2.68,3.66,1.24,0.37,0.88,0.45,2001
USC00287587,2.82,2.74,5.37,2.01,3.00,9.25,2.99,2.17,3.06,0.59,1.58,3.26,2001
USW00054793,1.48,2.18,3.64,1.70,4.00,3.25,1.43,1.58,3.32,0.52,1.27,2.01,2001
USW00054743,3.27,1.32,6.71,2.02,2.87,9.83,1.72,3.48,3.46,0.62,1.09,2.28,2001
USC00284635,4.01,2.88,5.50,1.95,4.35,6.00,2.77,4.69,3.61,0.65,1.09,2.51,2001
USC00289910,1.30,1.30,4.10,1.70,4.20,4.60,5.80,4.40,1.30,1.70,1.90,2.10,2001
USC00284229,2.98,2.34,7.15,1.81,3.13,3.98,1.81,5.24,2.19,1.52,0.99,2.58,2001
USC00286146,2.58,1.76,5.30,1.39,1.75,5.33,1.48,4.14,3.64,0.58,0.80,1.51,2001
USW00014792,2.85,2.07,5.57,1.54,4.76,6.08,1.67,5.09,2.29,0.45,0.78,2.39,2001
USC00280690,0.69,3.22,6.57,2.46,1.08,5.52,4.25,6.47,2.39,0.92,0.44,1.89,2001
USC00280927,2.85,2.58,5.25,1.87,3.87,4.70,3.91,2.96,3.18,0.84,0.97,2.25,2001
USW00093780,2.21,2.58,6.36,1.20,2.69,4.00,2.80,4.59,1.45,1.14,0.69,1.33,2001
USW00054785,3.03,1.69,4.49,1.66,4.22,2.68,2.20,3.03,3.56,0.39,0.80,2.25,2001
USC00288173,3.27,3.35,6.97,2.15,4.13,6.78,1.87,2.87,1.33,1.27,0.85,2.20,2001
USC00286843,2.77,2.56,5.71,1.32,2.83,3.72,2.95,3.57,2.21,1.39,0.85,2.25,2001
USC00281327,2.74,2.35,5.19,1.78,3.63,4.22,2.70,1.69,4.05,0.59,1.54,2.38,2001
USC00285503,2.60,2.02,5.79,2.39,3.17,6.10,2.75,4.52,3.93,0.87,1.26,2.48,2001
USC00283935,2.07,2.57,5.54,1.81,3.81,4.70,2.30,2.61,3.87,1.00,1.33,2.22,2001
USC00288816,6.19,1.23,9.57,2.06,1.19,3.72,4.27,5.56,3.51,0.84,0.44,2.44,2001
USW00054779,2.54,2.48,4.56,3.38,4.49,3.13,2.60,2.00,3.12,0.70,1.34,2.46,2001
USC00285728,3.76,3.41,7.24,1.80,4.13,6.59,1.77,3.19,1.39,1.31,0.88,2.45,2001
USC00283951,3.11,2.12,6.18,1.76,3.24,4.70,3.03,5.11,1.99,0.89,0.82,2.37,2001
USC00288648,2.23,2.59,5.87,1.95,4.45,4.79,2.32,2.23,4.76,0.96,1.43,2.61,2001
USC00288644,2.19,2.32,5.50,2.28,4.30,2.44,2.09,2.69,3.48,0.50,1.20,2.47,2001
USC00280734,2.46,3.17,5.42,1.71,4.46,3.80,4.25,1.60,5.06,0.57,1.28,2.51,2001
USC00286055,3.65,3.09,6.86,1.88,3.07,6.59,3.01,3.98,3.51,0.53,1.19,2.19,2001
USC00281592,3.43,3.03,5.76,2.01,3.82,4.62,1.86,2.79,4.01,0.76,1.06,2.71,2001
USC00282023,2.94,2.59,6.20,1.82,3.10,5.43,2.47,2.84,4.94,1.02,0.92,2.29,2001
USC00287301,3.69,3.18,4.75,2.19,5.27,6.94,3.61,4.84,3.51,0.90,1.10,2.98,2001
USC00289832,2.01,1.89,6.61,1.84,3.02,8.30,2.95,3.65,3.44,0.66,1.12,2.15,2001
USC00280990,2.95,2.58,4.28,1.92,0.67,3.06,4.39,5.04,1.22,1.24,0.78,1.52,2001
USW00093730,3.35,3.43,5.72,1.55,1.24,2.90,2.02,1.85,1.28,1.00,1.06,1.83,2001
USW00094741,2.62,2.43,6.83,1.80,2.31,4.34,1.62,3.28,4.27,0.69,1.15,2.35,2001
USC00283704,2.06,1.39,6.43,1.88,2.33,4.24,2.00,3.06,5.26,0.59,0.94,2.36,2001
USC00289187,2.32,2.81,4.81,1.49,2.98,8.60,2.61,2.39,2.66,0.85,1.46,2.30,2001
USC00283516,2.46,2.46,5.72,2.06,3.78,6.09,2.64,1.26,3.67,0.78,1.41,2.62,2001
USC00287079,3.39,2.96,6.74,1.92,3.44,6.08,2.23,2.31,4.33,0.90,1.05,2.29,2001
USC00282805,3.75,4.09,6.45,1.74,2.66,6.78,3.44,3.49,1.23,1.80,1.44,2.03,2001
USC00287936,3.20,3.43,5.83,1.79,4.20,6.43,2.22,3.63,1.39,1.14,1.10,1.81,2001
USC00281335,1.94,2.63,5.06,1.54,3.32,9.06,2.13,2.20,4.72,0.93,1.03,2.76,2001
USC00281582,2.85,2.60,5.19,2.04,3.59,4.81,2.71,1.87,3.87,0.62,1.26,2.56,2001
USC00286460,2.98,2.64,5.13,1.51,3.81,3.31,1.70,3.06,4.01,0.52,1.30,2.30,2001
USC00282768,6.40,3.45,7.20,1.33,3.00,9.65,1.47,2.80,5.15,0.81,1.28,2.67,2001
USW00013724,1.79,0.56,4.62,5.23,2.35,5.03,0.86,2.06,2.47,6.43,6.58,5.19,2002
USC00281351,2.34,0.93,4.71,3.96,3.61,2.46,2.17,1.67,3.65,8.14,7.05,2.78,2002
USC00283029,2.46,0.84,4.69,3.49,5.54,6.72,0.77,3.26,6.16,6.53,4.59,4.98,2002
USC00284887,1.21,0.91,3.99,5.49,5.13,5.36,1.70,3.93,4.80,8.33,5.74,4.00,2002
USC00288194,2.56,0.63,4.19,3.03,5.36,4.05,0.82,5.00,4.27,5.15,4.52,4.18,2002
USC00287079,2.42,0.79,4.36,3.77,3.94,4.56,1.57,4.70,4.76,7.69,5.15,5.30,2002
USW00014734,1.86,0.52,3.59,3.77,3.89,5.88,1.19,4.05,3.66,6.79,4.48,3.72,2002
USC00283181,2.68,0.96,4.33,2.62,4.01,5.05,1.17,4.82,4.66,7.57,4.95,5.16,2002
USW00013735,0.94,0.63,4.65,5.76,4.05,3.86,1.11,4.67,1.22,6.33,5.62,3.67,2002
