id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00291469,0.06,0.05,0.26,0.14,0.00,3.79,0.10,0.39,0.00,2.35,4.20,0.39,2000
USC00296619,0.23,0.00,2.24,0.23,0.46,2.39,2.88,1.68,0.00,4.56,0.03,0.40,2000
USC00299820,1.67,0.60,4.48,0.42,0.27,1.13,2.81,1.88,0.41,4.20,2.31,0.40,2000
USC00292820,0.65,0.18,0.92,0.09,0.30,0.40,1.10,1.54,0.08,2.50,0.60,0.30,2000
USC00293775,0.01,0.04,0.39,0.00,0.00,4.66,2.03,5.52,0.02,2.24,1.25,0.01,2000
USC00291963,0.13,0.01,2.81,0.24,0.19,6.00,5.16,0.00,0.00,7.41,0.89,0.39,2000
USC00299165,0.00,0.30,0.61,0.11,0.00,4.26,1.41,1.44,0.38,2.13,1.98,0.85,2000
USC00293592,0.34,0.24,1.00,0.58,0.17,1.57,2.35,2.02,0.04,3.96,2.02,1.31,2000
USC00293142,0.62,0.26,2.05,0.21,0.03,0.12,0.80,1.22,0.50,2.16,0.78,0.22,2000
USC00290231,0.15,0.38,1.92,0.00,0.00,0.67,0.54,0.85,0.43,3.35,1.06,0.23,2000
USC00298596,0.00,0.00,1.37,0.68,0.10,3.07,1.42,0.21,0.03,5.33,0.24,0.67,2000
USC00299085,0.10,0.30,1.10,0.10,0.15,2.15,1.91,2.26,0.05,3.12,0.65,0.75,2000
USC00293157,0.04,0.01,0.54,0.02,0.00,6.62,1.78,2.52,0.00,4.45,2.60,0.24,2000
USC00297226,0.00,0.00,1.99,0.38,0.31,3.76,2.98,0.40,0.15,4.02,1.00,0.63,2000
USC00298501,0.77,0.03,2.95,0.58,0.71,0.36,2.56,3.89,0.19,4.73,0.24,0.38,2000
USC00298668,0.21,0.31,0.30,0.61,0.01,2.82,4.35,1.25,0.35,1.05,0.10,0.00,2000
USC00294742,0.32,0.23,3.14,1.26,0.47,2.39,2.57,2.46,0.73,4.12,0.56,0.47,2000
USC00290915,0.00,0.13,2.43,0.00,0.00,0.14,2.34,0.73,0.00,2.33,1.18,1.29,2000
USC00293586,0.15,0.00,0.24,0.17,0.00,3.69,2.21,3.13,0.00,3.81,0.70,0.87,2000
USC00291982,0.43,0.10,0.74,0.64,0.16,1.25,1.44,2.39,0.57,3.26,1.78,0.39,2000
USC00294009,0.00,0.00,1.92,0.14,0.00,4.15,1.59,2.20,0.04,2.35,2.32,0.08,2000
USC00291180,2.68,1.30,2.89,0.56,0.19,1.80,0.90,1.55,0.69,3.78,1.52,0.75,2000
USC00293294,0.01,0.00,1.56,0.20,0.20,3.36,1.89,0.13,0.24,7.02,0.65,0.67,2000
USC00291515,0.00,0.00,1.28,0.18,0.00,3.15,0.38,2.03,0.33,3.50,0.98,1.27,2000
USC00294346,0.40,0.01,0.70,0.06,0.00,2.55,0.00,1.01,0.00,2.31,0.50,0.00,2000
USC00293340,0.54,0.25,1.88,0.06,0.00,0.13,0.56,1.53,0.34,1.78,0.78,0.21,2000
USC00292436,0.04,0.00,0.71,0.00,0.00,2.26,0.54,1.56,0.13,1.96,1.85,0.17,2000
USC00291286,0.00,0.00,2.01,4.00,0.00,4.37,0.86,2.53,0.00,2.86,1.70,0.04,2000
USC00296911,0.18,0.20,1.80,0.00,0.04,0.41,0.67,1.90,0.07,3.81,1.36,0.22,2000
USC00291664,2.69,0.98,2.31,1.09,0.22,1.28,1.87,3.09,0.81,3.56,2.81,2.59,2000
USC00295937,0.03,0.00,1.59,0.08,0.33,2.50,2.66,1.28,0.05,4.64,0.53,0.83,2000
USC00291721,0.00,0.00,0.15,0.00,0.06,3.14,1.55,1.52,0.00,1.09,0.48,0.28,2000
USC00297094,0.03,0.07,1.77,0.00,0.19,1.77,2.57,1.46,0.40,2.83,1.03,0.69,2000
USC00292608,1.63,0.83,3.62,0.18,0.07,0.58,0.69,1.69,0.55,2.50,1.47,0.63,2000
USC00290600,0.05,0.00,0.18,0.34,0.00,3.59,0.95,0.41,0.00,2.75,3.57,0.02,2000
USC00290992,0.00,0.00,0.56,0.30,0.04,2.92,2.11,0.10,0.09,2.94,2.10,0.49,2000
USC00299686,0.00,0.05,0.08,0.02,0.00,4.74,0.24,1.86,0.06,1.55,1.17,0.42,2000
USC00295079,0.00,0.05,0.39,0.00,0.00,1.73,1.13,2.52,0.00,2.96,1.81,0.49,2000
USC00290377,0.10,0.05,2.61,0.48,0.62,2.48,1.81,1.30,0.12,6.17,0.14,0.32,2000
USC00299851,0.00,0.00,0.00,0.14,0.00,4.16,0.00,0.00,0.00,5.11,0.00,1.01,2000
USC00290417,0.04,0.03,0.32,0.00,0.00,2.47,1.47,4.05,0.00,3.09,1.46,0.08,2000
USC00293265,0.04,0.02,0.56,0.01,0.00,4.15,1.44,1.78,0.12,3.83,2.15,0.29,2000
USC00291063,0.41,0.47,1.76,0.47,0.00,0.00,0.17,0.50,0.42,1.44,0.58,0.00,2000
USC00295273,0.05,0.18,1.27,0.00,0.00,1.26,1.84,5.69,0.59,7.66,0.90,0.11,2000
USW00023050,0.30,0.30,1.27,0.00,0.07,0.72,0.83,0.57,0.37,2.67,0.91,0.24,2000
USC00296465,0.87,0.27,3.81,0.67,0.04,0.05,1.80,1.90,0.30,2.07,0.52,0.37,2000
USC00293031,0.03,0.00,0.83,0.17,0.00,0.64,1.25,2.10,0.15,2.96,1.18,0.24,2000
USC00297649,0.00,0.10,0.30,0.65,0.15,6.54,2.26,3.98,0.25,2.16,0.72,1.11,2000
USW00023049,0.34,0.02,0.56,0.48,0.06,1.22,1.72,2.10,0.09,3.06,1.73,0.60,2000
USC00298107,0.00,0.00,2.19,0.38,0.53,5.35,1.63,1.47,0.12,4.14,0.99,0.77,2000
USC00295754,0.26,0.00,0.66,0.00,0.00,3.92,4.23,2.06,0.01,4.39,2.66,0.36,2000
USC00293488,0.74,0.27,4.39,2.02,0.28,2.50,5.84,3.25,0.36,4.07,1.80,1.94,2000
