id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00268761,3.06,1.99,0.48,0.33,1.47,0.19,0.00,0.10,0.08,0.45,1.89,0.36,2000
USC00260150,0.25,1.35,0.59,0.08,0.00,0.03,0.00,0.11,0.04,0.22,0.00,0.00,2000
USC00264253,1.20,0.30,0.00,1.53,2.35,0.21,0.00,0.65,0.00,0.00,0.00,0.00,2000
USC00262708,0.10,2.31,0.76,0.15,1.19,0.38,0.03,1.32,0.60,1.63,0.44,0.05,2000
USW00023153,0.37,1.57,0.34,0.18,0.28,0.40,0.00,2.74,0.01,1.02,0.01,0.00,2000
USW00023154,0.63,1.66,0.62,1.10,1.64,0.29,0.00,1.72,0.37,1.71,0.32,0.10,2000
USC00264394,1.33,2.17,1.51,1.27,1.81,0.28,0.00,0.82,0.11,2.17,0.54,0.42,2000
USC00264391,1.70,2.58,2.45,1.61,2.35,0.02,0.11,0.24,0.61,1.49,0.72,0.74,2000
USC00264935,1.10,0.79,0.52,1.10,0.41,0.21,0.06,0.52,0.35,2.17,0.07,0.28,2000
USC00262570,1.53,2.23,0.83,0.95,0.67,0.06,0.02,0.27,0.05,1.41,0.34,0.38,2000
USC00263114,2.39,1.78,0.56,0.39,1.58,0.00,0.36,0.20,0.29,1.18,0.30,0.53,2000
USC00264236,3.00,2.43,0.74,0.99,0.40,0.10,0.03,0.00,0.17,2.14,0.23,0.67,2000
USW00003160,0.48,2.07,0.46,0.26,0.00,0.13,0.00,0.00,0.13,0.32,0.01,0.00,2000
USC00262189,1.79,2.52,1.41,1.63,1.08,0.12,0.00,0.81,1.18,1.53,0.36,0.66,2000
USW00003170,0.45,1.30,0.43,0.30,1.55,0.32,0.18,1.06,0.06,1.41,0.85,0.21,2000
USC00264745,0.56,0.84,0.77,0.73,0.64,0.72,0.00,1.46,0.74,3.06,0.00,0.09,2000
USC00265168,0.00,1.29,0.37,0.47,0.73,0.15,0.00,1.13,0.00,1.44,0.21,0.16,2000
USC00267953,4.37,1.12,0.85,0.46,0.87,0.04,0.00,0.10,0.15,0.16,0.51,0.26,2000
USC00264950,0.81,1.95,0.54,1.22,1.41,0.65,0.22,2.15,0.34,1.65,0.36,0.14,2000
USC00267369,0.00,2.26,0.87,0.00,0.00,0.00,0.06,0.69,0.00,0.66,0.00,0.00,2000
USC00263957,1.69,1.11,1.02,0.67,1.18,0.00,0.00,0.19,0.27,1.58,0.17,0.64,2000
USC00267450,1.09,1.43,0.61,0.62,1.21,0.09,0.00,0.77,0.63,1.70,0.34,0.18,2000
USC00264349,1.07,0.64,0.22,0.17,0.59,0.05,0.00,0.00,0.27,0.19,0.25,0.00,2000
USC00264341,0.87,2.01,0.34,1.13,1.24,0.30,0.00,1.02,0.36,0.95,0.17,0.00,2000
USC00267612,1.20,0.71,0.80,0.01,0.05,0.53,0.00,0.05,0.09,0.04,0.44,0.04,2000
USC00268588,0.05,1.70,1.12,0.07,0.00,0.03,0.00,0.87,0.00,0.76,0.08,0.00,2000
USW00024121,1.49,2.32,0.78,0.69,0.73,0.08,0.04,0.25,0.03,1.73,0.50,0.33,2000
USW00024128,1.31,1.60,0.88,1.08,1.35,0.01,0.05,0.46,0.85,1.70,0.28,0.31,2000
USC00262229,1.59,1.16,0.88,0.85,0.78,0.11,0.00,0.00,0.26,1.46,0.63,0.10,2000
USC00267697,2.32,1.28,0.61,0.37,0.68,0.04,0.00,0.29,0.00,2.78,0.89,0.00,2000
USC00262243,0.04,1.91,0.54,0.00,0.00,0.06,0.00,0.37,0.00,0.41,0.00,0.00,2000
USC00262497,0.02,0.97,0.83,0.08,0.05,0.01,0.00,0.44,0.00,1.16,0.02,0.07,2000
USC00266791,2.34,1.08,0.38,0.25,0.56,0.14,0.00,0.32,0.01,0.41,0.32,0.14,2000
USC00267188,1.44,2.07,1.18,0.80,1.01,0.03,0.04,0.03,0.27,0.96,0.20,0.53,2000
USC00264527,2.20,3.29,0.89,0.62,0.76,0.16,0.00,0.16,0.05,1.16,0.48,0.55,2000
USC00268346,2.26,2.04,1.27,0.58,1.10,0.05,0.02,0.02,0.86,2.17,0.30,1.22,2000
USC00262296,0.62,1.96,0.48,0.43,1.51,0.20,0.10,0.63,0.00,1.73,0.00,0.07,2000
USC00261485,2.90,1.63,0.19,0.30,0.30,0.63,0.00,0.13,0.06,0.22,1.48,0.00,2000
USW00023169,0.00,1.59,0.21,0.00,0.00,0.00,0.00,0.71,0.00,0.92,0.00,0.04,2000
USC00260800,0.90,0.62,0.83,0.27,1.94,0.16,0.05,0.12,0.04,1.19,0.28,0.56,2000
USC00260718,0.90,2.40,1.18,0.42,0.05,0.20,0.00,1.60,0.00,0.41,0.02,0.00,2000
USC00264016,0.69,1.30,0.60,0.91,2.20,0.03,0.02,0.07,0.39,0.87,0.41,0.18,2000
USC00267908,0.57,3.55,1.01,0.63,0.77,0.08,0.00,1.94,0.81,2.93,0.00,0.28,2000
USC00262431,0.17,0.94,0.02,0.00,0.00,0.00,0.00,0.72,0.00,0.61,0.14,0.00,2000
USC00267820,2.98,1.87,0.15,0.09,0.64,0.12,0.10,0.07,0.20,0.45,1.08,0.00,2000
USC00263340,0.79,1.84,0.56,0.16,0.85,0.91,0.05,1.35,1.17,2.21,0.38,0.18,2000
USC00269072,2.43,1.83,1.23,0.78,1.30,0.13,0.14,0.08,0.70,1.60,0.53,1.12,2000
USC00269168,1.31,1.32,1.35,1.38,1.41,0.00,0.06,0.28,1.36,2.29,0.27,0.43,2000
USC00267123,1.17,1.94,0.88,0.21,1.67,0.27,0.01,0.40,0.05,0.67,0.30,0.79,2000
USW00023185,2.14,0.98,0.38,0.34,0.23,0.23,0.00,0.79,0.04,0.04,0.40,0.14,2000
USC00265890,0.25,1.80,0.69,0.24,0.00,0.02,0.00,0.45,0.02,0.23,0.00,0.02,2000
USC00265132,0.45,0.78,0.41,0.36,1.34,0.16,0.00,0.14,0.04,1.75,0.32,0.06,2000
USC00264439,0.00,1.63,0.20,0.00,0.00,0.00,0.00,1.57,0.00,1.29,0.00,0.03,2000
USC00260438,2.15,3.42,1.02,0.79,1.55,0.61,0.00,0.63,0.21,3.27,0.53,0.79,2000
USC00265400,1.83,6.91,3.12,0.67,0.10,0.18,0.03,2.37,0.00,4.43,0.20,0.20,2000
USC00263512,0.11,0.74,0.00,0.03,0.24,0.03,0.00,0.55,0.09,0.48,0.01,0.14,2000
USC00266746,0.35,1.12,0.27,0.35,1.84,0.90,0.03,1.93,0.00,1.41,0.29,0.18,2000
USC00268988,0.67,1.52,0.33,1.17,0.72,0.26,0.00,0.23,0.11,1.47,0.59,0.38,2000
USC00262119,6.45,4.96,0.86,0.80,0.85,0.11,0.00,1.15,0.36,0.79,1.52,0.77,2000
USC00267463,0.06,0.76,0.04,0.73,0.00,0.02,0.00,1.75,0.00,6.11,0.00,0.01,2000
USC00266252,1.05,4.27,1.05,0.24,0.48,0.10,0.09,3.54,0.22,2.26,0.62,0.00,2000
USC00265818,1.67,2.34,1.17,1.66,0.81,0.06,0.00,0.33,0.85,2.08,0.13,0.75,2000
USC00265722,1.20,2.20,0.69,0.67,1.51,0.18,0.15,0.41,0.18,1.15,0.19,0.30,2000
USC00264039,1.52,1.57,2.25,1.46,2.07,0.02,0.39,0.26,0.47,1.92,0.91,0.91,2000
