id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00300785,4.28,4.67,3.92,5.90,8.17,3.94,3.07,7.06,3.47,2.79,3.79,3.50,2000
USC00301168,3.43,3.21,2.56,5.06,6.65,4.66,2.80,1.98,2.45,3.55,1.80,2.31,2000
USC00305679,2.58,2.02,1.59,3.58,4.59,4.21,1.39,4.38,2.50,1.82,1.98,1.63,2000
USC00300085,2.96,1.44,1.63,3.45,4.97,5.94,4.16,3.09,3.08,2.84,1.45,1.30,2000
USC00307750,1.88,1.82,0.94,4.71,3.17,5.54,3.14,5.95,5.10,1.78,3.19,3.27,2000
USC00306047,2.39,1.81,1.93,4.67,5.11,6.29,3.13,3.84,3.71,1.34,2.91,3.62,2000
USC00301966,2.92,3.56,2.67,7.07,6.09,3.40,3.27,2.24,2.22,2.05,2.22,3.78,2000
USC00304996,2.15,3.28,3.25,5.71,5.95,3.69,4.08,3.53,5.13,1.48,3.37,2.51,2000
USC00308586,5.56,2.92,3.14,4.54,4.81,4.08,3.07,6.60,2.54,2.62,2.58,2.47,2000
USC00305869,3.29,3.27,3.08,6.04,6.44,4.41,3.79,3.87,4.94,0.73,3.01,3.20,2000
USC00307772,2.51,2.35,2.19,4.74,4.81,5.89,3.78,4.06,5.06,3.54,4.41,4.08,2000
USC00303319,5.87,3.06,3.41,7.71,5.19,6.53,9.44,8.20,1.52,3.64,0.94,3.89,2000
USC00305714,3.89,3.70,3.17,7.07,6.23,3.22,4.23,4.20,2.78,2.51,4.57,5.28,2000
USC00306164,2.11,2.41,2.62,5.42,4.60,3.83,3.07,4.13,3.12,0.80,3.35,1.24,2000
USC00309389,4.00,2.89,2.13,5.35,4.77,4.80,7.59,4.21,1.28,2.89,2.75,4.72,2000
USC00301436,5.46,4.37,4.98,6.91,6.51,9.08,5.43,9.53,3.53,3.50,2.09,5.67,2000
USW00094794,3.75,3.31,3.59,4.72,8.44,4.91,5.19,4.84,4.61,3.64,2.52,2.93,2000
USW00014771,2.80,2.46,2.37,4.24,4.74,4.46,2.73,2.48,3.13,2.26,2.98,2.36,2000
USC00308670,3.50,3.13,4.09,6.95,6.63,5.45,2.84,4.29,6.14,3.37,1.91,3.20,2000
USC00308906,2.39,3.28,3.92,5.11,5.56,6.26,5.49,4.91,6.25,1.48,3.18,4.78,2000
USC00304174,2.92,2.98,2.38,4.59,5.64,4.86,2.90,1.72,3.36,3.30,1.90,1.61,2000
USC00301413,1.65,2.39,1.65,5.69,5.64,4.83,2.87,2.98,2.43,3.57,1.37,1.46,2000
USC00302036,4.16,3.39,4.55,6.40,6.07,5.30,3.11,3.32,3.20,2.80,1.92,4.20,2000
USW00014733,2.65,1.76,2.12,4.08,4.39,6.52,2.90,3.21,3.93,1.11,5.82,3.78,2000
USW00014732,3.06,1.51,3.30,3.47,4.29,4.50,6.28,3.95,4.69,0.65,3.02,3.80,2000
USW00014735,3.43,2.84,3.81,4.23,4.95,6.69,4.48,4.70,3.06,2.48,1.91,4.39,2000
USC00300613,2.26,2.03,1.97,4.74,4.25,5.83,4.45,3.94,4.61,1.24,2.39,3.04,2000
USC00300443,2.54,1.43,1.89,4.89,4.49,5.66,3.08,3.35,4.93,1.06,1.42,2.09,2000
USC00307134,3.54,1.80,4.59,5.95,4.20,4.24,4.70,2.41,3.92,0.46,3.72,3.65,2000
USC00303346,2.41,2.21,2.79,5.17,5.32,4.09,5.03,3.66,3.23,1.44,4.13,2.47,2000
USW00014719,2.59,2.05,2.36,2.78,3.20,4.18,3.48,3.44,2.91,0.46,3.44,2.52,2000
USC00308631,2.61,4.65,2.96,6.00,7.39,3.44,3.21,3.93,2.85,1.89,2.67,4.52,2000
USC00308944,1.97,3.38,1.53,2.08,6.56,4.15,4.63,3.94,3.32,1.56,2.80,2.93,2000
USC00308946,2.85,1.61,4.00,6.99,3.75,3.95,3.91,2.39,4.85,0.40,4.07,2.83,2000
USC00303144,2.80,2.80,3.67,5.74,3.73,7.29,5.55,5.49,3.48,1.47,2.35,5.28,2000
USC00302129,3.53,1.82,3.80,3.44,4.27,5.44,8.02,6.24,4.63,0.55,4.13,4.30,2000
USC00300063,2.82,2.50,4.26,4.05,4.34,8.81,4.98,4.94,3.12,2.61,1.84,4.35,2000
USW00054787,2.38,2.14,4.12,7.26,4.17,4.36,5.10,2.39,6.02,0.31,4.47,2.78,2000
USC00307799,4.02,3.63,4.88,5.12,5.75,8.24,8.42,5.11,4.24,2.69,2.66,8.06,2000
USW00014750,3.52,2.80,1.92,4.80,5.17,3.46,6.92,1.94,1.41,2.91,2.06,3.46,2000
USC00307035,4.08,2.82,4.26,3.96,5.51,8.16,5.47,2.96,6.50,1.75,1.80,5.90,2000
USC00301799,4.08,1.40,2.46,2.27,6.58,4.67,3.46,2.46,3.17,3.41,1.30,2.26,2000
USC00307329,3.07,2.12,1.45,4.44,3.32,6.96,5.08,3.51,5.12,3.48,2.76,3.48,2000
USC00305248,3.83,2.67,2.99,4.51,5.32,7.48,4.87,7.57,3.13,2.83,2.54,4.54,2000
USC00303955,2.28,1.88,2.00,4.41,5.50,4.50,3.00,2.36,3.84,2.34,1.33,1.37,2000
USC00308987,2.89,2.09,1.84,4.39,4.65,5.15,2.26,6.54,2.30,2.65,1.71,0.85,2000
USC00303983,2.89,2.02,1.67,3.57,4.33,6.85,2.67,3.83,4.55,2.57,1.82,2.36,2000
USC00301580,2.83,1.36,1.34,2.24,5.06,5.47,2.26,4.57,3.64,1.94,2.12,1.86,2000
USC00303184,1.63,1.31,1.42,3.54,4.53,5.50,1.93,6.28,3.22,2.85,1.38,0.66,2000
USC00305377,2.85,1.89,4.39,5.66,4.25,4.38,5.43,2.41,5.11,0.41,5.63,3.30,2000
USC00307842,3.47,1.73,1.49,4.43,5.96,6.05,1.61,4.26,3.64,2.02,3.03,3.74,2000
USC00309000,2.14,2.85,3.34,5.28,6.17,3.80,5.83,5.22,5.31,2.15,5.92,4.26,2000
USC00300343,1.96,1.44,1.85,4.87,3.09,3.93,2.09,4.33,3.65,1.35,1.23,1.22,2000
USC00304731,3.69,3.38,3.99,4.57,7.27,8.79,6.68,3.39,5.42,3.41,2.63,7.24,2000
USC00306957,2.35,3.27,3.48,6.89,7.13,4.47,5.06,3.60,1.00,1.19,2.06,2.86,2000
USC00303851,4.03,3.65,3.68,5.31,8.79,3.48,3.48,5.04,4.11,2.61,4.37,4.80,2000
USC00308086,2.91,2.77,2.43,4.90,5.26,5.01,3.57,2.55,3.18,3.24,1.59,1.91,2000
USC00300889,4.01,1.98,4.12,5.55,3.52,4.36,4.09,4.60,3.28,0.77,3.49,3.53,2000
USC00303284,5.07,3.26,3.18,6.14,4.61,4.81,7.33,3.43,2.16,3.07,2.91,4.73,2000
USC00303065,3.46,2.43,2.41,4.73,4.64,7.18,3.44,4.94,3.73,2.75,2.19,2.04,2000
USC00304575,3.53,3.00,4.22,4.59,5.46,7.76,3.07,4.51,3.19,2.66,1.51,1.07,2000
USW00004725,2.94,3.41,3.26,6.48,7.04,4.69,3.77,2.46,2.40,4.06,1.98,2.23,2000
USC00304772,2.00,1.86,0.99,4.59,4.81,4.69,1.62,2.02,2.44,2.77,0.95,0.91,2000
USC00302610,2.10,2.51,2.07,5.12,5.03,6.39,2.56,2.88,3.52,2.92,1.78,1.21,2000
USC00306196,3.04,1.91,1.91,4.24,4.54,4.97,2.77,2.54,3.19,2.49,1.55,2.16,2000
