id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00338769,2.22,1.98,1.80,4.59,4.95,5.15,4.03,2.37,3.54,2.20,1.54,2.83,2000
USC00331777,3.87,2.98,2.41,5.12,7.44,2.10,3.68,4.50,5.84,3.29,2.41,3.94,2000
USC00331592,3.77,4.27,2.61,4.06,4.66,4.79,3.94,4.58,3.71,2.56,1.94,4.41,2000
USC00335297,5.97,0.97,2.53,6.53,4.54,4.97,3.84,3.90,5.72,2.22,1.66,3.55,2000
USC00330563,2.85,2.64,1.80,3.85,5.62,6.29,2.17,6.05,5.06,1.60,2.00,2.66,2000
USC00334672,3.22,3.19,3.67,3.78,5.91,6.36,4.08,4.42,3.85,1.11,0.89,0.74,2000
USC00335041,1.80,5.06,3.48,4.52,4.99,6.71,3.49,2.78,3.43,2.19,1.33,3.19,2000
USC00331905,2.95,1.08,2.61,4.09,4.88,3.37,3.75,4.90,3.52,2.45,1.38,3.30,2000
USC00333500,1.54,6.59,2.70,4.60,4.22,4.97,3.48,4.04,3.25,0.74,1.47,1.72,2000
USC00338534,1.82,2.11,1.61,3.08,4.44,4.91,4.67,3.24,4.76,2.22,1.78,2.42,2000
USC00338822,1.06,1.51,2.39,1.96,6.70,6.34,2.38,3.22,6.31,2.61,1.47,2.68,2000
USC00332599,2.15,1.86,1.63,3.89,5.71,7.98,3.03,4.65,3.92,2.83,1.90,2.51,2000
USC00332044,3.72,3.17,2.96,5.80,6.54,5.55,3.02,3.52,3.78,2.15,1.60,4.12,2000
USC00337410,2.00,5.67,3.62,3.28,3.44,2.72,3.16,1.85,4.88,0.91,1.78,3.51,2000
USW00014813,1.80,1.25,0.99,3.56,6.16,4.02,5.77,1.68,3.48,2.85,1.46,2.36,2000
USC00331197,2.89,3.15,3.25,3.72,4.69,2.99,1.77,3.27,3.49,2.93,1.70,3.02,2000
USC00334967,2.63,2.25,2.30,4.05,5.80,4.70,3.58,5.06,3.84,2.05,1.55,3.19,2000
USC00335029,2.76,5.68,3.62,3.63,3.94,2.26,3.95,2.08,4.95,1.58,1.73,3.76,2000
USC00339312,2.64,2.46,2.32,4.80,5.83,4.57,2.35,4.58,3.66,2.49,1.75,3.45,2000
USC00332067,4.06,2.85,3.19,5.52,3.59,4.43,4.06,2.85,2.95,3.40,2.68,2.71,2000
USC00338642,2.47,2.50,1.70,4.06,4.69,6.96,1.88,4.65,4.21,2.10,1.65,2.37,2000
USC00338313,1.86,2.47,1.94,3.36,4.91,6.22,5.61,6.25,4.85,1.77,1.62,2.59,2000
USC00337935,3.19,1.53,2.14,6.43,4.57,4.99,2.87,4.31,3.13,3.91,2.38,1.83,2000
USW00014852,2.33,1.83,1.85,4.61,4.04,4.73,4.09,2.76,3.19,2.28,1.81,3.17,2000
USC00335505,2.04,1.69,0.93,3.42,4.49,4.49,3.97,4.19,3.66,3.34,2.68,2.27,2000
USC00333375,2.76,2.45,1.80,4.08,5.26,6.48,1.82,2.95,3.85,2.29,1.48,2.55,2000
USC00331458,3.28,2.11,1.54,4.57,6.59,7.29,2.30,3.78,2.41,3.72,4.45,7.65,2000
USC00334979,3.25,2.75,2.30,4.82,4.75,3.65,3.31,4.07,3.97,2.11,1.97,2.46,2000
USC00338609,1.65,1.53,1.53,1.51,4.88,9.23,1.86,5.32,3.06,2.30,1.90,3.21,2000
USC00336600,2.79,2.97,3.02,4.02,4.74,3.33,1.66,2.56,3.64,1.81,1.45,2.78,2000
