id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00349203,1.88,2.65,4.18,1.68,8.57,8.58,2.94,0.00,3.84,3.02,3.73,2.50,2000
USC00342872,1.36,1.78,2.14,1.69,1.47,6.78,3.21,0.00,0.09,8.08,5.28,2.81,2000
USW00093953,2.12,2.26,3.10,3.39,6.41,11.96,2.17,0.00,2.22,5.52,4.94,2.46,2000
USC00344052,1.81,1.53,3.02,3.44,1.11,10.23,2.86,0.00,0.55,9.65,5.13,2.60,2000
USC00347579,0.40,1.86,5.94,1.55,1.04,8.22,1.01,0.63,0.00,3.33,0.98,1.28,2000
USC00343070,0.35,0.57,6.09,1.52,3.22,4.03,2.03,1.05,0.04,8.89,0.17,0.55,2000
USC00345063,1.45,2.27,4.86,2.57,1.84,7.41,0.66,0.00,1.45,11.07,4.93,1.50,2000
USC00342242,1.11,1.10,4.21,2.22,5.13,6.43,3.95,0.00,0.00,6.89,1.66,1.69,2000
USC00345216,1.38,1.25,3.23,5.75,1.40,7.44,3.34,0.00,0.40,9.66,4.66,2.91,2000
USW00013975,0.23,0.61,5.56,1.63,2.98,4.66,0.14,0.31,0.03,7.89,0.11,0.69,2000
USC00340260,0.76,2.06,4.42,2.84,1.55,7.94,1.02,0.00,1.82,13.21,2.89,5.12,2000
USC00342318,0.70,1.15,4.29,1.50,6.29,8.12,5.02,0.35,0.34,4.96,2.45,1.96,2000
USC00343871,0.29,1.47,6.85,3.25,1.46,7.33,0.35,0.00,0.00,3.82,0.54,1.78,2000
USC00343304,0.42,0.48,6.79,1.06,6.02,8.37,0.51,0.15,0.00,9.78,0.16,0.90,2000
USC00349023,2.50,2.07,3.73,4.39,6.26,7.97,2.19,1.12,2.22,4.25,8.30,4.37,2000
USC00340017,2.63,1.32,4.34,2.48,4.11,6.24,1.80,0.00,1.31,9.22,5.68,1.79,2000
USC00341499,2.85,3.04,3.76,2.83,5.20,8.85,1.36,0.07,1.83,3.16,14.68,5.77,2000
USC00348042,2.64,1.91,3.05,5.20,2.02,7.56,4.07,0.00,0.85,6.99,4.45,1.00,2000
USC00344019,0.71,1.91,6.68,1.61,4.63,5.26,4.08,0.07,0.04,5.82,1.32,1.09,2000
USC00340200,0.61,1.47,3.14,1.69,3.10,7.97,1.57,0.00,2.90,8.41,2.73,3.14,2000
USC00347534,0.27,0.03,2.75,0.38,0.64,1.61,3.92,1.93,0.03,4.35,0.00,0.03,2000
USC00341243,0.00,1.22,4.96,0.69,1.83,4.04,2.15,0.24,0.22,4.13,0.33,0.24,2000
USC00342690,2.60,2.61,4.00,3.35,6.05,10.97,6.61,0.00,3.37,6.78,5.76,1.98,2000
USC00341750,0.78,1.60,4.20,2.67,2.50,7.29,1.87,0.00,2.58,11.42,3.50,2.10,2000
USC00340193,1.51,1.47,8.52,0.76,6.16,5.46,2.66,0.35,0.00,5.85,0.86,2.52,2000
USC00340224,0.46,1.59,3.97,2.19,3.59,3.72,1.43,0.00,2.42,13.13,2.55,1.11,2000
USC00344055,0.85,1.56,4.27,2.48,5.42,4.54,2.57,0.00,0.00,6.30,1.79,1.37,2000
USC00348016,0.25,1.35,4.63,1.47,3.27,7.50,1.60,0.00,1.38,6.45,1.80,1.81,2000
USW00093950,1.51,1.14,2.90,3.59,2.12,7.35,2.34,0.04,2.74,4.47,5.27,2.16,2000
USC00348416,1.79,1.20,2.19,2.54,5.51,6.94,1.03,0.02,2.74,2.69,6.93,3.82,2000
USW00053908,0.93,1.14,3.63,3.36,11.51,6.43,3.98,0.20,1.28,6.33,4.06,2.09,2000
