id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USW00024231,8.58,4.44,1.39,4.20,1.81,0.36,0.11,0.00,0.74,3.01,1.73,3.31,2000
USW00024230,1.50,1.61,1.05,0.74,0.39,0.07,0.74,0.00,0.32,0.84,0.47,0.50,2000
USW00024232,7.05,6.93,2.98,1.29,1.56,0.72,0.09,0.03,0.75,2.41,2.54,3.63,2000
USW00024235,10.72,6.53,1.43,4.31,2.62,0.57,0.42,0.07,0.82,3.06,1.45,1.01,2000
USC00356200,10.05,5.20,2.28,4.25,2.45,0.41,0.10,0.00,1.50,3.23,3.05,4.28,2000
USC00351897,11.55,6.38,3.39,3.66,3.75,0.83,0.25,0.07,0.89,3.43,2.95,5.06,2000
USC00356853,1.64,0.41,0.93,1.91,0.54,0.19,0.19,0.00,0.05,2.06,0.74,0.42,2000
USC00359390,9.50,3.85,1.49,3.13,0.83,0.33,0.50,0.17,0.37,2.28,1.43,2.22,2000
USC00353705,13.34,9.58,5.72,2.07,4.15,3.08,0.05,0.07,1.08,3.57,4.61,8.70,2000
USC00356366,14.00,11.39,6.30,5.07,5.17,4.76,0.48,0.52,2.46,8.23,6.95,8.65,2000
USC00354721,19.63,16.70,4.86,3.47,4.44,2.53,0.09,0.02,0.49,6.89,5.00,7.55,2000
USC00354126,14.05,7.52,4.67,5.28,4.39,1.45,0.15,0.05,0.92,4.03,4.85,6.48,2000
USC00358095,8.91,7.05,4.09,2.86,4.03,1.55,0.48,0.16,1.97,4.17,3.98,4.67,2000
USC00357160,0.20,0.08,0.15,0.01,0.08,0.02,0.00,0.00,0.11,0.19,0.17,0.08,2000
USC00352406,13.75,7.96,2.88,3.51,2.87,1.00,0.11,0.00,1.55,3.28,2.42,5.46,2000
USW00024285,12.79,10.70,3.87,2.89,3.36,3.19,0.38,0.16,1.74,4.47,4.10,5.32,2000
USW00094261,6.93,4.36,3.02,1.37,1.92,1.04,0.08,0.15,1.27,3.01,2.16,3.24,2000
USC00353827,2.00,2.70,1.72,0.64,1.60,0.83,0.04,0.00,0.62,2.43,0.96,0.61,2000
USC00350858,1.37,1.52,0.81,0.02,0.48,0.33,0.00,0.00,0.49,1.03,0.85,0.48,2000
USC00352876,1.55,0.49,1.07,0.60,0.33,0.03,0.00,0.01,0.14,0.68,0.63,0.41,2000
USC00357331,9.54,4.77,1.25,4.64,1.63,0.40,0.12,0.00,0.76,3.24,2.00,3.57,2000
USC00351643,8.37,5.35,5.12,2.14,3.09,2.02,0.08,0.15,1.39,3.54,3.78,4.08,2000
USC00359083,8.50,7.12,3.63,2.16,3.22,1.54,0.22,0.05,0.80,3.38,2.47,4.65,2000
USC00351149,7.80,3.10,2.03,3.38,0.84,0.81,0.55,0.15,0.53,2.52,1.26,1.12,2000
USC00350217,8.40,4.18,1.54,4.42,0.82,0.50,0.25,0.22,0.78,1.62,1.33,1.91,2000
USC00355394,4.82,1.97,3.30,0.92,3.64,2.79,0.30,0.00,2.84,4.42,2.48,1.60,2000
USC00357310,2.45,1.15,0.71,1.17,0.76,0.38,0.41,0.53,0.70,2.33,0.30,0.67,2000
USC00356302,1.50,1.55,0.82,1.05,0.55,0.20,0.00,0.00,1.80,1.80,0.30,0.00,2000
USC00351946,13.62,10.32,5.60,4.07,3.50,1.71,1.04,0.08,1.06,4.92,4.30,5.80,2000
USC00359316,4.72,2.86,0.55,0.73,0.70,0.26,0.56,0.00,0.12,1.65,0.40,1.98,2000
USC00357127,6.98,5.92,3.59,2.58,2.61,1.51,0.09,0.09,1.02,3.50,3.09,3.64,2000
USC00352440,3.00,3.32,1.00,0.96,0.71,0.18,0.04,0.00,0.86,0.80,0.83,0.80,2000
USC00356532,2.77,2.44,0.59,0.44,0.24,0.01,0.24,0.00,0.15,0.93,0.73,0.85,2000
USC00351448,19.73,13.26,2.70,2.75,2.10,0.55,0.85,0.20,0.57,4.24,4.00,4.93,2000
USC00358260,10.25,6.06,2.34,4.15,2.10,0.48,0.12,0.00,0.54,2.91,2.62,4.44,2000
USW00094224,11.66,5.04,5.48,3.83,4.15,4.17,0.24,0.61,2.15,4.62,3.87,5.82,2000
USC00357466,6.96,5.68,4.17,3.16,3.69,2.76,0.20,0.42,2.44,3.49,2.59,4.55,2000
USC00354133,24.96,13.91,2.71,3.89,6.17,1.27,0.00,0.00,1.94,8.47,6.82,6.76,2000
USC00354411,2.00,2.40,1.43,0.37,0.68,0.46,0.07,0.00,0.23,1.55,0.95,0.41,2000
USC00353193,14.13,8.56,4.51,2.78,4.14,2.46,0.44,0.22,0.96,5.97,4.64,4.46,2000
USC00353971,10.45,7.71,4.12,3.11,4.30,1.64,0.27,0.07,0.70,3.87,2.81,5.02,2000
USC00354622,2.27,0.85,1.76,0.81,1.68,1.24,0.22,0.00,1.71,2.91,1.06,0.86,2000
USC00351902,11.81,6.48,3.57,4.66,3.57,0.91,0.18,0.00,0.69,4.22,2.94,6.11,2000
USC00356907,9.94,5.68,3.04,5.76,2.21,0.68,0.39,0.03,0.76,3.33,3.86,4.65,2000
USC00358997,2.59,1.74,1.66,1.11,2.09,0.69,0.26,0.00,2.72,1.80,0.96,1.11,2000
USC00352374,11.04,6.11,3.92,4.32,3.78,1.05,0.14,0.00,0.82,2.78,3.07,4.54,2000
USC00353356,15.02,15.51,5.56,3.98,5.04,1.84,0.04,0.06,0.46,9.27,7.37,6.04,2000
USC00352292,16.98,12.41,7.13,3.81,7.72,2.91,0.39,0.13,1.37,7.90,7.56,8.66,2000
USC00354606,10.85,7.95,4.93,3.36,5.05,2.85,0.44,0.08,1.22,3.72,3.91,4.58,2000
USC00355160,2.01,2.15,0.98,0.72,0.28,0.26,0.03,0.06,0.39,1.75,0.38,0.67,2000
USC00355162,0.97,1.64,0.27,0.85,0.54,0.00,0.07,0.00,0.98,2.47,0.53,0.50,2000
USC00358466,10.27,9.93,5.53,2.85,5.58,2.65,0.60,0.07,1.04,6.61,4.90,8.00,2000
USC00353402,15.38,10.21,6.76,4.17,6.54,3.74,0.84,0.16,3.65,11.15,5.80,7.99,2000
USW00094281,6.23,5.43,3.63,2.41,2.87,1.28,0.17,0.06,1.00,3.65,2.85,3.03,2000
USC00352867,10.68,6.85,2.37,1.47,2.94,0.92,0.91,0.00,1.24,3.30,1.83,5.49,2000
USC00354175,1.44,2.59,0.66,0.94,0.53,0.40,0.36,0.24,0.46,2.06,0.33,0.59,2000
USC00358812,1.75,1.91,1.31,1.28,1.15,0.52,0.44,0.00,1.41,3.03,0.38,1.00,2000
USC00355026,10.59,5.14,1.50,3.81,1.36,0.52,0.17,0.00,0.38,2.93,2.03,4.04,2000
USC00350652,15.63,9.19,5.59,3.50,4.79,2.73,0.52,0.04,1.30,5.00,4.62,8.57,2000
USC00355142,2.80,2.06,0.76,0.42,0.26,0.01,0.39,0.00,0.44,1.04,0.52,0.85,2000
USW00024162,2.38,2.57,0.91,0.64,0.32,0.31,0.00,0.02,0.32,1.45,0.53,0.83,2000
USC00356179,1.91,2.03,1.01,2.10,0.54,0.25,0.00,0.00,0.89,1.73,0.29,0.52,2000
USC00357817,2.04,1.34,1.14,2.16,0.75,0.13,0.64,0.01,0.22,1.79,0.53,0.65,2000
USC00357823,7.73,7.47,3.92,2.76,4.14,1.07,0.07,0.07,1.04,3.97,3.70,4.08,2000
USC00350471,15.15,14.27,2.91,2.15,3.07,1.81,0.12,0.21,0.50,6.25,4.06,6.68,2000
USC00354835,12.24,6.49,2.02,3.90,3.49,2.45,1.02,0.00,0.84,3.93,3.65,5.56,2000
USC00357169,8.74,4.43,1.41,3.46,1.70,0.77,1.49,0.01,0.12,2.22,2.11,2.02,2000
USC00353445,10.59,5.72,1.14,2.81,1.12,0.00,1.04,0.56,0.79,2.22,1.45,1.88,2000
USC00356750,6.98,5.94,3.24,2.43,2.61,1.20,0.22,0.15,1.80,2.81,3.24,4.13,2000
USC00350694,2.67,1.75,0.20,0.54,0.46,0.00,0.15,0.00,0.42,0.77,0.28,0.96,2000
USC00350699,2.08,0.86,0.47,0.61,0.43,0.01,0.11,0.00,0.40,0.88,0.26,0.13,2000
USC00357631,13.20,12.19,6.05,4.14,7.22,3.95,1.22,0.16,2.44,7.37,5.98,7.13,2000
USC00355891,10.02,5.45,3.08,4.43,1.91,0.98,0.40,0.14,0.21,2.80,3.15,3.10,2000
USC00357641,7.28,6.36,5.29,4.33,4.03,6.07,1.81,0.70,2.19,4.19,3.41,4.16,2000
USC00351546,7.05,0.60,1.07,2.36,0.69,0.17,0.67,0.12,0.00,1.50,0.74,2.74,2000
USW00024242,6.59,5.33,3.07,2.89,3.51,1.15,0.22,0.15,2.87,3.77,3.45,3.61,2000
USC00358173,3.03,2.05,1.06,1.85,0.97,0.13,0.79,0.00,0.77,2.14,0.65,0.91,2000
USC00358797,1.70,2.12,1.50,0.79,0.40,0.27,0.00,0.03,0.53,1.42,0.47,0.55,2000
USC00353770,11.09,10.49,5.46,3.51,8.29,3.13,0.20,0.44,4.04,7.62,4.64,5.94,2000
USC00353542,1.97,1.61,1.98,0.91,0.87,0.19,0.20,0.02,0.21,1.54,0.81,0.78,2000
USC00356820,15.61,10.93,3.51,2.42,4.09,0.88,0.16,0.26,0.55,4.48,3.74,5.10,2000
USC00356795,28.06,22.70,7.57,6.06,8.05,5.22,0.00,0.10,1.39,7.86,7.19,9.02,2000
USC00355221,15.17,10.31,5.65,3.27,4.68,2.91,0.80,0.16,1.20,4.76,5.61,6.62,2000
USC00353014,11.72,6.91,6.39,4.96,5.86,4.98,0.54,0.89,2.28,6.31,4.62,6.06,2000
USC00350897,15.40,13.04,5.41,3.65,7.43,3.49,0.06,0.07,1.87,7.27,6.75,8.39,2000
USC00357208,1.98,2.23,0.74,0.67,0.46,0.30,0.35,0.17,0.00,2.44,0.41,0.32,2000
USC00354329,1.08,1.40,2.44,1.14,2.23,0.68,0.15,0.00,2.76,2.04,0.54,0.54,2000
USC00356243,3.32,2.97,1.71,1.02,0.57,0.31,0.13,0.00,0.93,0.41,1.52,1.56,2000
USW00004201,6.27,5.14,3.53,1.65,2.57,1.11,0.49,0.21,1.87,3.28,2.34,4.71,2000
USC00353692,0.78,0.71,1.66,1.06,0.92,0.16,0.07,0.00,1.19,2.92,1.17,0.50,2000
USC00352805,7.67,8.67,4.96,1.39,2.20,0.99,0.14,0.06,1.08,3.74,3.08,4.84,2000
USC00351877,12.89,10.25,4.00,2.20,4.15,1.73,0.14,0.00,1.12,3.86,3.91,8.02,2000
USC00355424,5.69,1.84,2.47,3.59,0.66,0.79,0.84,0.04,0.53,1.59,1.31,0.95,2000
USC00351055,20.29,14.61,5.04,4.65,5.36,2.93,0.09,0.15,0.89,7.53,7.16,6.98,2000
USC00354506,4.83,0.94,1.07,2.30,0.40,0.11,0.33,0.00,0.42,1.13,0.87,0.93,2000
USC00355362,9.22,7.25,5.84,3.42,4.38,2.92,0.96,0.08,1.81,4.22,0.55,2.71,2000
USC00357736,5.37,2.80,2.25,0.93,1.19,0.67,0.00,0.37,0.49,3.54,1.01,1.06,2000
USC00353509,5.31,3.48,2.32,3.85,1.18,0.26,0.26,0.39,0.27,2.16,1.53,1.18,2000
USC00352633,10.15,6.61,2.56,2.87,3.18,1.04,0.24,0.00,1.65,2.92,3.14,5.59,2000
USW00024229,5.67,4.50,3.20,1.82,2.71,1.19,0.15,0.12,1.67,3.25,2.46,3.47,2000
USW00024225,5.00,2.76,1.53,3.59,0.76,0.43,0.58,0.07,0.38,1.52,1.24,0.98,2000
USW00024221,9.58,6.01,2.38,2.09,3.11,0.70,0.42,0.00,0.99,3.07,1.61,4.11,2000
USC00354776,16.93,10.60,5.68,3.78,6.89,5.11,0.43,0.17,2.34,7.61,4.31,10.63,2000
USC00356634,1.80,2.54,2.80,0.76,2.43,1.09,0.43,0.00,1.55,2.20,1.54,0.99,2000
USC00357940,8.19,5.50,2.54,4.45,2.40,0.81,0.10,0.01,0.39,3.43,2.29,3.17,2000
USC00351836,17.98,9.42,2.90,2.63,2.84,1.45,0.15,0.11,0.62,5.49,3.59,5.17,2000
USC00357675,1.87,2.06,1.61,0.86,1.48,0.58,0.22,0.04,1.08,1.57,1.15,0.71,2000
USC00350265,1.86,2.33,0.53,0.14,0.20,0.29,0.00,0.01,0.19,0.96,0.07,0.43,2000
USC00352493,5.50,8.10,5.48,3.50,5.15,2.30,0.50,0.09,1.71,10.10,4.31,4.15,2000
USC00358007,5.64,3.09,1.68,1.93,0.65,0.01,0.48,0.10,1.26,1.30,0.73,0.30,2000
USC00352415,1.74,2.94,1.26,0.53,0.40,0.54,0.43,0.00,1.71,2.19,1.15,0.56,2000
USC00358246,4.30,3.29,1.25,0.75,0.76,0.12,0.42,0.00,0.10,2.28,0.52,1.96,2000
USC00355055,8.15,5.38,2.29,4.58,1.51,0.30,1.63,0.17,0.78,2.34,2.28,2.38,2000
USC00355050,11.24,6.67,3.71,4.57,3.50,1.50,0.21,0.00,1.18,3.33,3.21,4.56,2000
USC00359176,1.45,1.81,1.37,1.35,0.23,0.24,0.05,0.00,0.28,1.71,0.33,3.05,2000
USC00357112,13.44,6.40,2.24,2.39,1.44,0.95,0.06,0.00,0.54,3.40,3.38,4.79,2000
USC00356500,0.90,1.25,1.40,1.29,1.24,0.76,0.50,0.00,0.95,1.57,0.35,0.35,2000
USC00352693,8.43,8.68,5.03,3.38,5.61,2.42,0.55,0.12,1.34,5.19,4.05,4.39,2000
USW00024284,13.81,11.02,3.00,2.72,3.10,1.72,0.37,0.49,0.67,4.66,3.44,5.45,2000
USW00094273,6.74,4.56,3.10,1.65,2.35,1.45,0.27,0.03,1.19,2.56,2.55,3.52,2000
USC00352997,10.76,8.09,5.13,1.69,1.84,2.44,0.04,0.20,1.93,2.86,2.74,4.76,2000
USC00350595,7.31,6.17,3.33,1.96,2.45,1.10,0.07,0.26,1.53,4.51,3.02,4.57,2000
USC00356334,4.61,3.10,2.38,1.12,2.42,1.41,0.01,0.02,0.48,3.88,2.50,2.98,2000
USC00354670,4.44,2.90,1.96,1.20,1.35,0.47,0.47,0.02,2.53,2.10,0.89,1.26,2000
USC00352325,7.80,5.46,3.26,1.52,2.15,1.21,0.00,0.22,0.89,3.09,2.46,4.21,2000
USC00351433,11.88,8.09,6.30,4.72,6.35,2.91,0.31,0.17,1.41,4.86,4.15,4.89,2000
USW00004113,0.67,2.10,1.02,0.08,1.33,0.38,0.00,0.00,0.85,1.50,1.34,0.80,2000
USC00350145,17.40,9.22,6.07,3.74,5.39,3.76,0.25,0.09,3.55,6.15,4.58,10.02,2000
USC00356252,10.05,10.22,2.39,2.22,1.39,0.77,0.18,0.06,0.19,1.38,1.33,3.54,2000
USC00355174,5.02,1.20,1.67,2.27,1.13,0.08,0.45,0.08,1.71,1.89,0.51,0.00,2000
USC00355139,2.56,2.19,0.75,0.43,0.26,0.02,0.04,0.00,0.19,1.73,0.52,0.81,2000
USW00094185,1.64,1.89,0.78,0.81,0.28,0.18,0.96,0.00,1.16,1.72,0.63,0.47,2000
USW00094236,3.59,1.28,1.03,1.30,0.50,0.13,0.32,0.00,0.81,0.95,0.52,0.48,2000
USC00358746,1.55,1.25,1.30,0.85,1.93,1.11,0.12,0.00,1.45,2.33,0.60,0.53,2000
USC00351682,12.78,8.15,5.31,4.03,5.45,2.44,0.45,0.35,3.01,4.93,5.13,7.50,2000
USC00352173,0.59,0.87,1.83,0.80,0.98,0.66,0.63,0.00,0.95,1.24,0.50,0.47,2000
USC00354403,5.07,1.85,1.17,2.54,0.90,0.03,1.66,0.03,0.69,1.40,0.82,1.09,2000
USC00359461,9.67,5.00,1.89,5.05,2.06,0.31,0.11,0.00,0.68,2.85,2.06,3.43,2000
USC00352775,16.44,8.65,4.13,3.21,4.07,1.56,0.20,0.59,0.80,5.15,3.98,6.12,2000
USC00356466,6.35,6.80,2.31,0.95,1.77,1.20,0.00,0.00,0.19,2.98,2.77,4.57,2000
USC00352112,6.52,4.16,1.54,1.35,2.09,1.00,0.13,0.04,0.83,2.96,3.15,5.72,2000
USC00357554,6.95,2.77,2.78,0.94,3.37,0.85,0.45,0.00,0.00,1.28,2.08,4.27,2000
USC00352597,3.63,3.07,1.02,1.17,2.16,1.41,0.06,0.06,3.04,2.72,1.74,1.37,2000
USC00358494,12.07,9.35,5.55,4.11,7.04,3.82,0.56,0.59,2.98,6.20,4.72,6.86,2000
USW00024155,1.99,2.98,2.43,0.69,1.60,0.72,0.07,0.00,2.01,2.07,1.22,0.58,2000
USC00355711,1.94,1.54,2.00,0.28,1.03,0.88,0.51,0.00,0.87,1.81,1.15,0.72,2000
USC00354003,6.89,5.65,2.34,0.56,1.28,0.82,0.00,0.00,0.31,1.67,2.29,3.65,2000
USC00356426,0.41,0.34,0.18,1.64,0.39,0.10,0.67,0.00,0.00,1.99,0.45,0.40,2000
USC00353604,4.34,4.89,2.23,0.71,1.02,1.03,0.06,0.08,1.33,2.03,1.41,1.71,2000
USW00024152,4.63,3.45,5.04,1.87,3.96,2.11,0.36,0.00,4.61,3.38,2.91,2.36,2000
USC00355734,1.77,2.43,0.77,0.44,0.48,0.20,0.00,0.00,0.30,1.39,0.60,0.46,2000
USW00094107,1.05,0.69,0.54,1.09,0.85,0.04,0.28,0.02,0.71,2.19,0.33,0.40,2000
USC00356749,8.08,4.96,3.62,2.40,2.51,0.90,0.25,0.15,1.77,3.19,2.91,3.86,2000
USC00356405,5.24,1.17,1.06,1.27,0.46,0.32,0.04,0.21,0.77,1.92,0.30,0.48,2000
USC00353047,10.42,7.59,5.15,3.17,5.02,2.00,0.22,0.06,0.91,4.44,3.66,4.28,2000
USC00351574,3.31,4.76,1.11,3.07,0.42,0.18,0.61,0.10,0.30,1.52,0.82,1.83,2000
USC00355080,2.41,1.59,0.67,0.35,0.26,0.18,0.42,0.20,0.67,1.29,0.64,0.48,2000
USC00356213,11.74,5.60,3.78,3.81,3.71,1.23,0.42,0.00,0.94,3.54,3.34,4.97,2000
USC00350501,1.98,2.38,1.33,1.31,0.67,0.35,0.27,0.00,0.78,1.39,0.91,0.92,2000
USC00350356,3.03,2.71,2.60,0.74,2.30,1.02,0.70,0.00,0.66,2.17,0.53,2.11,2000
USC00357250,3.73,2.65,1.91,0.55,1.10,0.89,0.58,0.01,1.29,2.48,1.15,1.28,2000
USC00353818,2.52,1.86,1.15,0.06,0.97,0.38,0.00,0.02,0.89,1.60,1.31,0.76,2000
USC00351765,2.75,2.24,1.12,0.41,1.11,0.39,0.00,0.14,0.69,1.67,0.95,0.87,2000
USC00354811,13.55,8.78,5.99,5.31,5.25,2.88,0.07,0.04,0.96,4.95,4.87,5.90,2000
USW00024130,1.54,0.98,0.97,0.90,0.69,0.59,0.17,0.07,2.02,1.65,0.44,0.50,2000
USC00354060,8.56,5.27,2.54,3.36,0.93,0.11,0.21,0.00,0.35,2.62,2.63,1.36,2000
USC00355593,2.56,3.58,3.33,0.80,2.77,0.81,0.30,0.00,1.81,1.76,1.57,1.15,2000
