id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00377581,3.69,3.40,6.27,5.55,3.37,3.84,4.06,3.53,4.33,1.09,3.63,5.34,2000
USC00375270,4.31,3.20,4.73,6.05,4.58,5.43,3.74,2.69,3.59,1.72,3.87,5.76,2000
USW00014794,3.15,1.96,4.45,5.14,3.28,5.67,4.53,5.27,3.36,0.79,5.60,3.71,2000
USC00379423,4.28,3.38,5.31,6.04,3.82,5.56,5.04,2.92,3.83,2.22,4.04,5.61,2000
USW00014765,4.19,2.74,5.37,5.06,3.72,4.79,3.64,2.41,3.79,1.31,4.74,4.26,2000
USC00374266,4.80,3.46,7.08,6.41,2.74,5.86,4.45,4.86,7.17,0.69,5.00,4.59,2000
USW00014787,3.16,2.72,7.08,5.43,3.23,4.50,4.34,3.89,5.44,0.81,3.78,5.06,2000
USC00377581,3.47,2.90,11.45,2.48,2.91,6.20,4.46,4.28,2.16,1.98,0.86,2.54,2001
USC00375270,2.67,3.02,9.63,1.91,4.72,8.42,2.68,6.32,2.91,0.75,1.06,2.81,2001
USC00375215,3.08,2.04,10.01,2.29,4.22,5.13,3.42,3.36,2.23,2.53,1.24,2.82,2001
USC00379423,2.55,2.78,10.59,1.80,3.25,6.86,3.11,5.08,1.80,0.89,0.93,3.15,2001
USW00014765,2.40,1.96,8.79,2.04,3.96,6.72,1.91,4.50,4.40,0.65,0.41,2.47,2001
USC00374266,3.24,3.04,12.29,2.40,6.31,5.52,3.40,3.42,3.25,2.35,0.95,2.68,2001
USW00014787,2.61,2.42,10.97,2.32,3.44,5.02,4.11,3.30,1.98,2.19,0.78,2.34,2001
USW00014794,2.61,1.85,8.19,1.67,3.11,4.49,3.05,3.18,3.32,1.41,0.71,2.10,2001
USC00377581,3.13,1.56,5.56,3.81,5.78,3.91,0.33,0.73,6.02,4.52,5.69,5.35,2002
USC00375270,3.20,2.41,4.33,3.70,5.54,5.09,1.95,3.59,5.00,3.78,6.51,6.54,2002
USC00375215,3.67,1.84,4.83,4.98,6.44,4.43,1.35,0.85,6.27,4.42,6.63,5.54,2002
USW00014794,2.54,1.26,3.63,3.15,4.59,3.25,1.58,2.09,4.80,6.98,4.15,3.88,2002
USC00379423,2.99,2.56,4.28,3.46,6.01,4.26,1.73,3.85,4.54,3.74,6.48,6.50,2002
USW00014765,2.76,1.72,4.83,3.08,4.97,3.32,0.39,1.91,5.26,3.49,5.66,4.94,2002
USC00374266,2.94,1.48,5.33,4.22,5.51,4.56,0.76,1.48,5.67,7.75,6.23,5.16,2002
USW00014787,3.08,1.62,4.78,3.52,6.04,3.04,1.48,1.11,6.93,4.78,5.59,5.48,2002
USC00377581,2.17,5.17,6.66,6.43,3.15,5.99,3.44,4.16,3.67,5.69,2.78,4.81,2003
USC00375270,2.90,4.84,5.74,3.98,4.50,6.47,3.26,4.78,5.96,7.43,2.03,6.77,2003
USW00054796,1.82,4.45,6.23,5.14,2.81,5.42,3.43,7.13,3.55,5.72,2.02,5.81,2003
USC00379423,2.58,4.91,5.39,4.44,3.75,7.31,3.80,3.92,5.24,7.29,2.15,7.25,2003
USC00375215,2.62,3.89,6.00,7.00,3.09,5.65,3.65,4.92,3.03,6.96,2.65,3.98,2003
USW00054797,2.28,4.14,6.04,5.14,2.86,5.67,3.50,6.51,3.55,5.55,2.06,5.80,2003
USW00014765,2.04,3.75,5.18,4.35,3.14,5.52,3.62,5.61,3.38,5.51,1.76,6.43,2003
USC00374266,2.21,3.69,5.27,5.50,3.16,5.79,3.65,7.46,3.69,5.99,2.34,5.80,2003
USW00014787,2.00,3.77,5.50,5.67,2.61,5.25,3.44,2.87,3.04,4.78,3.03,3.30,2003
USW00014794,1.65,3.46,5.00,4.48,3.15,5.07,2.97,2.35,3.81,5.52,1.70,2.84,2003
USC00377581,2.02,2.71,3.54,6.35,3.31,2.22,2.39,7.22,6.96,3.10,4.60,5.56,2004
USC00375270,2.20,2.12,4.29,8.83,3.16,1.56,3.26,7.66,6.85,1.91,5.00,5.51,2004
USW00054796,2.03,2.85,4.64,7.38,2.63,2.15,2.65,6.32,7.72,2.87,4.91,5.66,2004
USW00014794,1.25,2.22,2.33,6.21,2.29,1.50,2.81,5.80,6.27,2.13,3.86,3.65,2004
USC00379423,1.79,1.98,2.15,9.43,3.31,0.94,3.02,7.10,6.47,1.67,5.27,4.73,2004
USW00054797,1.98,2.89,4.67,7.35,2.45,2.07,2.58,6.30,7.45,2.78,5.01,5.69,2004
USW00014765,1.53,2.11,3.50,6.58,2.45,1.44,3.23,6.39,6.95,2.13,4.15,4.90,2004
USW00014787,1.36,0.36,2.80,6.20,2.36,2.69,2.86,6.32,6.50,2.89,4.49,4.87,2004
USC00377581,5.57,3.55,6.47,5.07,4.11,1.17,1.09,6.54,3.01,10.46,8.11,3.89,2005
USC00375270,5.70,3.63,5.00,6.61,3.98,1.63,2.48,2.84,2.10,16.70,4.67,3.88,2005
USC00379423,6.02,3.09,6.11,6.25,5.31,1.01,4.04,4.02,2.53,15.72,4.13,4.15,2005
USW00054797,4.96,3.63,6.28,5.83,4.34,1.61,1.19,5.88,2.79,14.45,7.05,4.88,2005
USW00054796,3.62,3.55,6.29,5.68,4.12,1.66,1.12,6.35,3.08,14.51,6.33,5.01,2005
USW00014765,4.69,3.28,5.61,4.92,3.59,0.64,1.03,4.57,4.28,15.39,5.60,4.33,2005
USC00374266,4.55,2.92,6.08,4.93,5.44,1.55,0.95,6.19,2.93,14.92,6.99,5.02,2005
USW00014787,3.57,2.17,4.95,4.85,3.60,1.67,1.00,3.59,2.74,10.58,7.54,2.98,2005
USW00014794,2.94,2.11,3.82,5.87,3.19,1.37,1.98,3.44,4.32,11.80,4.96,3.45,2005
USC00377581,6.28,2.63,0.91,3.13,6.24,9.95,2.28,4.77,3.62,6.64,5.98,2.55,2006
USC00375270,5.83,3.49,0.53,2.85,7.08,13.23,2.76,4.74,2.27,6.31,7.41,2.44,2006
USC00379423,5.22,3.46,0.41,2.33,7.68,12.76,2.12,5.19,2.91,7.57,7.49,2.21,2006
USW00054797,6.52,2.81,0.85,3.31,7.48,10.33,3.90,4.54,3.81,7.67,5.96,2.53,2006
USW00054796,6.49,2.58,0.83,3.32,7.36,9.52,3.77,4.69,3.77,8.25,5.83,2.47,2006
USW00014765,5.11,2.76,0.57,3.19,7.27,9.23,2.05,3.74,3.18,7.12,7.70,2.41,2006
USC00374266,6.89,2.44,0.72,3.56,7.75,10.20,3.91,4.84,3.91,8.43,6.17,2.65,2006
USW00014787,5.60,1.68,0.52,3.05,7.00,9.91,3.20,4.05,3.41,5.61,5.91,2.35,2006
USW00014794,5.54,2.37,0.78,2.50,8.13,8.38,3.25,5.16,2.86,7.58,4.25,1.82,2006
USC00377581,4.50,2.81,7.09,8.55,2.63,3.19,2.39,1.57,1.98,2.48,3.17,4.69,2007
USC00375270,3.11,2.28,6.66,8.26,3.35,3.78,4.02,1.63,3.32,3.41,3.22,6.33,2007
USC00379423,2.76,2.38,6.30,8.16,3.85,3.56,3.83,0.84,2.63,2.43,2.85,6.40,2007
USW00054797,6.31,3.13,6.34,8.66,2.13,2.49,2.70,1.90,1.91,2.46,3.45,4.74,2007
USW00054796,5.96,3.01,6.46,8.53,2.22,2.37,2.74,1.87,1.72,2.29,3.52,4.48,2007
USW00014765,3.52,2.33,6.48,7.93,2.43,3.23,3.96,1.09,2.55,1.82,2.89,4.64,2007
USC00374266,6.02,2.89,6.34,9.03,2.43,2.50,2.93,1.99,1.75,2.35,3.67,4.78,2007
USW00014787,3.91,2.29,5.41,7.40,2.17,2.93,2.45,1.99,1.53,1.70,2.82,4.23,2007
USW00014794,4.47,2.48,4.17,7.10,2.17,3.05,1.54,2.57,2.06,2.18,3.35,3.95,2007
USC00377581,2.39,6.20,5.80,4.49,2.58,2.35,3.60,2.78,9.14,2.28,4.86,6.96,2008
USC00375270,4.13,8.31,5.93,4.03,2.54,2.74,5.22,4.02,8.26,2.11,4.63,9.03,2008
USW00014794,1.83,4.28,5.10,2.16,2.87,2.59,3.41,4.96,8.65,1.39,4.02,6.23,2008
USW00014787,1.60,4.71,4.65,2.91,2.57,2.17,3.50,2.50,6.63,1.94,3.80,5.39,2008
USC00379423,3.85,8.76,5.62,4.28,2.15,2.39,5.43,3.64,9.04,2.63,3.70,8.68,2008
USW00054796,2.62,6.43,6.52,4.47,2.82,2.96,3.61,4.00,10.30,2.19,4.36,7.87,2008
USW00054797,1.66,6.40,6.41,4.36,2.98,3.19,3.89,3.61,10.00,1.96,4.45,7.98,2008
USW00014765,2.94,7.04,6.47,4.05,1.95,2.48,5.28,1.85,10.99,1.49,5.33,7.26,2008
USC00374266,2.52,6.26,6.14,4.74,2.85,3.15,3.66,4.19,10.15,2.19,4.11,7.89,2008
USC00375270,3.44,2.35,3.23,5.28,3.09,4.82,9.33,1.98,1.88,7.00,4.43,6.29,2009
USW00054796,4.30,2.40,3.06,6.76,3.83,4.60,11.76,2.13,2.04,6.95,3.65,7.89,2009
USC00374266,4.13,2.17,2.51,6.85,4.06,4.77,12.07,2.52,2.17,7.06,3.90,7.41,2009
USC00377581,4.01,1.92,3.51,6.73,3.48,4.31,8.20,3.97,2.53,6.11,1.37,6.41,2009
USW00054797,4.34,2.41,3.20,6.78,3.81,4.66,11.31,2.28,2.18,6.80,3.52,7.73,2009
USW00014765,3.94,1.99,2.86,5.87,3.30,3.62,10.53,2.80,2.28,7.13,4.42,6.15,2009
USW00014787,2.74,1.06,1.64,5.30,2.42,3.11,8.92,3.52,3.40,4.64,1.64,3.93,2009
USW00014794,3.29,1.81,2.41,4.37,4.14,4.43,12.05,2.07,1.14,5.37,2.79,5.28,2009
USC00379423,4.60,2.13,3.27,5.57,2.55,4.20,8.44,3.23,2.35,6.41,4.98,6.80,2009
