id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00381241,6.11,1.07,5.67,1.54,2.01,2.79,9.53,3.90,6.40,0.00,4.00,1.99,2000
USC00388188,3.98,2.46,4.97,2.87,1.63,2.36,4.32,1.43,5.96,0.00,3.97,2.02,2000
USW00013744,4.59,0.97,2.87,2.53,2.57,2.20,5.43,6.39,4.92,0.00,2.75,0.85,2000
USC00383700,2.43,0.03,2.76,2.91,0.23,2.93,5.47,1.97,3.29,0.00,2.19,0.78,2000
USC00381625,3.76,2.92,4.66,7.42,0.81,1.46,5.95,3.04,6.35,0.00,4.06,1.92,2000
USC00386616,8.26,1.90,2.88,2.17,1.07,1.88,2.19,4.30,7.75,0.00,3.18,1.71,2000
USC00381530,5.74,2.65,2.91,2.39,0.34,2.03,4.87,3.27,6.34,0.00,3.78,1.15,2000
USC00381645,7.79,2.13,3.55,5.38,1.78,4.61,4.00,5.44,6.01,0.00,3.64,1.20,2000
USC00387589,6.25,3.73,6.08,6.24,0.29,4.74,4.88,3.79,3.57,0.01,7.50,5.45,2000
USC00383216,2.69,2.26,3.74,3.64,1.47,1.99,2.65,4.39,8.20,0.00,2.84,0.86,2000
USC00382260,6.94,1.98,3.56,3.06,2.46,4.73,4.46,4.01,10.50,0.00,3.59,0.93,2000
USC00389039,6.78,1.15,4.09,1.60,2.31,1.56,2.89,2.30,4.39,0.03,2.82,0.61,2000
USC00381804,4.71,3.20,4.94,5.60,2.81,4.09,2.59,2.61,4.21,0.17,4.51,3.57,2000
USC00381770,5.01,2.10,5.19,4.32,0.15,2.78,1.90,3.88,3.65,0.02,5.33,2.90,2000
USC00386775,10.65,1.09,5.84,1.78,0.31,6.42,4.81,4.08,7.15,0.00,3.92,1.17,2000
USC00383990,8.02,1.55,3.13,3.25,3.03,3.46,6.55,4.24,11.06,0.00,3.63,0.70,2000
USC00387288,4.77,1.21,3.94,3.78,0.14,4.39,8.82,9.03,7.19,0.00,3.55,3.67,2000
USC00386153,3.42,0.95,2.81,2.51,1.50,3.36,14.92,8.65,16.95,0.03,3.59,1.63,2000
USC00383468,4.67,0.76,4.40,3.04,3.30,3.77,8.74,7.86,14.52,0.00,4.06,2.56,2000
USC00384607,8.63,1.49,3.39,1.61,0.48,4.92,3.19,7.97,10.23,0.09,3.78,1.61,2000
USC00382757,6.70,0.93,3.42,2.01,1.52,4.17,6.01,4.59,8.59,0.00,3.09,1.99,2000
USC00388706,4.05,1.28,3.17,6.41,2.80,1.42,2.75,3.24,4.35,0.01,5.09,3.70,2000
