id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00390043,0.66,0.88,0.36,1.37,3.43,2.40,0.98,0.84,0.28,1.48,2.13,0.55,2000
USC00398472,0.35,1.59,1.21,1.72,3.46,2.03,0.92,14.00,0.68,2.17,1.67,0.44,2000
USC00391076,0.30,0.81,1.11,1.48,6.74,3.01,1.77,1.61,0.93,1.18,3.15,0.31,2000
USC00395406,0.55,0.55,2.55,0.90,2.74,3.77,2.11,0.81,0.42,2.19,2.25,0.06,2000
USC00399337,0.54,1.21,0.67,2.82,2.19,2.27,4.58,0.67,1.43,0.68,3.81,0.66,2000
USC00396212,0.78,0.78,2.25,4.64,2.43,1.02,1.01,0.39,1.20,1.77,0.61,0.34,2000
USC00393069,0.59,0.85,1.86,3.69,4.35,3.18,1.82,1.42,1.25,0.77,3.59,0.26,2000
USC00393217,0.31,0.26,0.39,1.41,2.19,3.61,1.10,1.34,1.70,0.87,1.11,0.29,2000
USW00094032,0.43,0.21,0.51,2.78,1.61,1.56,4.17,0.80,0.52,1.43,0.47,0.28,2000
USW00094037,0.19,0.26,0.38,1.63,3.39,1.25,1.97,0.36,0.59,1.32,1.19,0.07,2000
USW00094039,0.59,1.49,1.78,2.53,3.17,1.00,1.23,0.48,1.44,1.78,0.69,0.26,2000
USC00392852,0.65,0.64,2.36,4.17,4.54,2.67,2.54,0.11,0.32,1.00,1.39,0.31,2000
USC00392797,0.15,2.17,1.58,1.24,3.04,4.30,2.93,1.68,0.89,0.94,2.78,0.18,2000
USC00396947,0.25,0.08,1.50,4.76,2.54,2.46,1.76,0.65,0.49,1.58,1.56,0.15,2000
USC00396948,0.52,0.33,0.95,4.71,3.23,3.53,1.89,1.77,0.87,1.41,1.01,0.27,2000
USC00397545,0.24,0.98,2.37,1.80,3.36,4.83,2.76,3.22,0.35,1.34,2.07,0.48,2000
USC00395325,0.70,1.70,4.04,6.50,3.61,3.06,2.46,0.12,0.21,1.41,2.50,0.30,2000
USC00391972,0.51,0.68,1.38,3.59,1.02,2.11,1.62,0.28,0.20,1.32,1.15,0.57,2000
USC00393452,0.25,0.78,0.28,1.58,4.74,3.12,0.54,0.62,0.25,3.93,1.28,0.13,2000
USC00390760,0.06,0.16,0.96,1.76,4.27,1.93,1.57,3.43,0.11,0.63,1.68,0.47,2000
USC00391392,0.44,0.98,0.41,1.98,3.75,2.28,2.68,1.94,1.10,2.46,2.65,0.49,2000
USC00395691,0.21,0.69,1.97,1.43,3.31,3.08,2.11,0.59,0.44,0.95,0.98,0.19,2000
USC00396574,0.24,0.83,0.98,1.51,4.11,1.29,0.96,1.67,0.46,1.69,3.40,0.35,2000
USC00397227,0.51,0.60,0.71,4.15,3.78,4.00,3.65,0.73,0.59,0.26,2.03,1.35,2000
USC00390701,0.38,0.79,1.48,2.32,3.52,1.97,2.82,0.12,0.33,1.25,1.33,0.42,2000
