id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00408562,2.46,4.74,2.66,6.37,6.67,1.17,4.50,1.87,2.18,0.40,4.25,3.15,2000
USC00408179,4.84,2.20,3.43,5.35,5.40,2.59,4.34,2.08,2.71,0.00,4.65,1.67,2000
USC00405525,4.53,3.18,6.56,8.24,3.80,8.78,2.85,4.94,4.92,0.48,6.54,5.01,2000
USC00407459,4.33,4.98,6.09,9.49,1.18,6.80,2.51,2.16,4.65,0.57,6.76,3.83,2000
USC00405158,4.53,4.88,4.60,6.81,4.21,3.36,3.55,1.49,3.87,0.09,4.75,2.77,2000
USC00404590,4.44,3.20,4.52,7.32,8.03,5.70,4.12,2.98,3.95,0.41,2.97,5.57,2000
USC00401310,4.09,3.54,4.65,6.54,8.23,3.12,3.73,2.43,2.20,0.37,2.61,5.81,2000
USC00403074,6.95,3.61,2.91,6.00,3.45,5.87,2.30,3.53,4.58,0.19,8.05,4.32,2000
USC00405040,4.05,1.72,3.93,5.41,3.65,3.76,4.01,2.02,2.53,0.03,3.32,3.45,2000
USC00406977,1.92,4.13,4.47,5.89,6.32,3.68,1.41,2.23,2.76,0.55,4.09,4.24,2000
USC00402489,2.56,4.07,2.63,5.69,5.83,1.37,3.95,3.58,1.38,0.60,4.22,3.29,2000
USC00403420,5.22,2.52,4.55,5.72,7.78,7.45,5.01,2.18,3.71,0.08,3.78,2.40,2000
USC00401352,1.54,3.33,3.47,5.39,4.95,2.34,3.19,1.78,4.41,0.49,5.48,3.00,2000
USW00013877,3.62,1.86,3.85,3.56,3.19,4.57,5.43,3.71,1.75,0.02,2.42,1.69,2000
USC00403280,4.18,3.93,4.16,7.64,7.06,2.21,2.20,2.86,2.81,0.25,6.84,3.82,2000
USC00407184,3.91,3.60,4.56,7.47,2.20,4.59,1.31,2.68,4.79,0.43,4.82,3.07,2000
USC00401808,5.22,3.34,5.63,7.65,2.67,4.22,1.68,4.81,4.17,0.00,6.92,2.51,2000
USC00408405,2.91,3.27,7.24,7.16,6.37,4.03,4.71,4.67,1.76,0.15,4.15,5.94,2000
USC00405278,3.19,4.15,3.50,6.95,3.63,2.16,3.32,1.17,3.28,0.33,4.81,2.57,2000
USC00401145,1.39,4.24,3.49,5.73,4.67,3.17,1.74,0.55,4.44,0.94,4.47,2.96,2000
USC00406619,4.11,2.57,4.26,7.70,3.19,4.60,4.74,2.10,2.53,0.02,3.30,4.20,2000
USW00003841,5.78,3.72,6.51,8.04,7.20,6.93,3.02,2.06,3.47,0.01,4.64,3.98,2000
USW00003847,4.24,3.80,4.47,6.81,4.61,6.09,4.06,3.09,2.20,0.01,4.08,3.72,2000
USC00407884,3.89,2.61,3.52,4.26,4.37,2.45,3.94,1.64,2.62,0.07,2.61,9.69,2000
USC00400705,1.24,3.72,3.73,5.78,5.26,1.69,3.11,3.58,2.83,0.37,4.37,2.75,2000
USC00403370,4.47,3.82,5.65,6.66,6.37,3.20,3.06,3.84,2.07,0.78,3.60,5.75,2000
USC00405358,2.84,4.50,2.99,6.96,4.52,2.63,3.30,0.66,2.03,0.32,3.48,2.30,2000
USC00402360,5.16,3.59,5.78,8.89,3.20,4.06,1.48,2.86,5.27,0.09,6.76,3.38,2000
USC00400876,2.28,3.86,3.98,5.72,2.30,3.09,2.31,1.19,3.06,0.30,6.18,3.45,2000
USC00405089,4.39,3.44,5.77,7.95,3.21,5.47,5.86,2.43,5.56,0.00,7.42,5.26,2000
USC00409502,3.56,5.78,4.69,6.46,3.05,7.96,2.41,0.94,2.54,0.02,6.61,0.00,2000
USC00405882,3.00,3.94,4.43,7.15,3.74,4.17,1.98,4.12,3.20,0.13,3.59,5.10,2000
USW00003811,1.90,4.02,3.94,4.87,4.52,4.22,2.49,2.68,3.12,0.94,4.30,2.96,2000
USC00400081,4.18,3.12,4.64,7.13,7.58,6.84,4.04,2.28,3.04,0.39,2.76,6.02,2000
USW00013897,3.52,3.76,3.35,6.23,7.67,1.74,2.26,1.95,1.91,0.26,6.39,3.44,2000
USW00013893,1.37,5.37,4.43,4.41,4.02,3.80,2.23,0.77,1.07,0.45,6.89,2.47,2000
USW00013891,5.15,3.42,4.38,6.69,5.90,3.37,6.12,1.41,3.82,0.00,4.35,2.46,2000
USC00402202,4.73,4.07,5.20,7.13,4.38,5.09,3.16,3.94,3.03,0.32,4.13,5.17,2000
USC00400669,4.22,4.17,4.17,6.50,6.52,2.23,3.55,3.35,1.39,0.93,5.80,3.30,2000
USC00402806,3.80,2.81,4.10,4.26,2.98,5.71,5.02,5.65,1.37,0.01,2.61,2.02,2000
USC00408065,3.88,4.38,5.66,3.47,8.87,4.05,4.14,1.11,3.57,0.65,4.46,1.30,2000
USC00405431,4.55,3.35,5.00,9.71,1.56,2.58,4.40,3.83,2.61,0.31,7.89,2.24,2000
USC00404858,3.12,2.22,3.88,3.02,2.71,2.31,3.62,3.42,3.10,0.03,2.44,1.55,2000
USC00408886,4.53,3.55,4.12,8.86,4.42,3.32,5.14,2.07,4.40,0.47,6.57,2.52,2000
USC00405108,4.66,3.17,4.41,5.87,4.99,2.61,3.00,4.33,3.30,0.43,5.41,4.98,2000
USC00402108,1.33,3.65,3.43,6.96,6.17,4.31,1.43,2.55,3.34,0.92,5.85,3.54,2000
USC00401887,4.59,3.45,5.50,9.34,3.98,6.76,3.76,3.43,4.98,0.77,6.74,4.57,2000
USC00406371,3.09,3.39,5.21,7.06,6.48,4.37,2.66,3.02,5.24,0.46,5.33,5.22,2000
USC00407359,2.63,4.50,3.72,6.87,5.56,2.21,5.15,4.00,1.31,0.33,5.51,4.40,2000
USC00408246,3.03,3.74,7.36,9.12,3.71,5.96,1.95,4.19,4.25,0.71,5.68,4.19,2000
USC00404876,3.55,2.22,2.98,6.17,8.76,1.51,2.85,1.78,2.00,0.41,4.94,3.69,2000
USC00404871,6.50,4.21,5.27,7.33,4.47,3.91,2.21,2.27,3.24,0.05,4.54,4.06,2000
