id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00418845,0.67,1.60,0.66,0.70,5.01,3.79,0.84,0.57,2.56,11.35,5.68,3.14,2000
USC00412633,0.83,0.97,4.14,2.08,0.65,3.85,0.59,0.00,0.10,5.51,6.43,0.81,2000
USC00415116,0.00,0.00,0.20,1.65,2.55,5.15,0.00,0.00,0.00,3.19,4.59,0.72,2000
USC00416780,0.32,0.44,0.29,0.11,1.50,9.67,0.11,0.22,1.43,4.44,3.14,0.46,2000
USC00410805,0.48,0.61,1.56,0.97,4.57,1.17,0.00,0.53,0.35,1.68,2.16,0.73,2000
USC00413485,2.03,2.95,3.04,2.51,5.20,2.89,0.00,0.00,1.85,4.92,6.96,1.85,2000
USC00412020,1.91,3.58,2.29,3.57,7.40,8.60,0.00,0.00,1.99,2.81,12.44,5.85,2000
USC00416058,2.12,2.07,1.98,2.01,4.32,15.37,0.12,0.00,1.53,6.45,7.16,2.35,2000
USC00419859,2.62,1.82,2.94,3.54,5.99,7.51,0.32,0.00,1.82,5.17,10.83,6.19,2000
USC00413734,1.70,2.88,4.26,3.65,4.28,9.20,0.12,0.00,0.61,2.89,9.00,4.65,2000
USC00412282,0.09,0.25,3.70,1.63,2.62,3.61,1.26,0.01,0.00,7.59,0.92,2.10,2000
USC00415770,0.30,0.60,6.52,2.35,0.53,8.91,2.00,0.25,0.00,5.34,1.45,0.00,2000
USC00415766,2.32,2.30,2.65,1.94,6.25,5.77,0.43,0.00,0.83,0.34,9.09,5.83,2000
USC00411250,1.23,3.85,2.27,1.78,4.33,2.63,0.53,1.13,2.60,3.87,6.52,1.63,2000
USC00417593,0.56,2.07,0.46,1.80,5.15,8.59,0.25,0.00,2.56,4.93,7.62,1.25,2000
USC00413257,0.10,0.68,1.23,2.16,1.42,4.15,0.30,0.43,1.80,5.82,10.23,0.66,2000
USC00410611,1.40,1.22,1.94,5.36,7.43,2.45,5.53,3.26,5.18,0.86,9.72,2.24,2000
USC00410613,1.20,1.56,2.02,4.18,8.16,4.45,0.84,2.03,4.72,1.78,9.61,1.75,2000
USC00417040,1.31,1.25,6.32,5.15,8.57,6.72,1.63,1.22,1.71,1.29,11.93,3.63,2000
USW00003999,1.17,3.91,1.91,1.78,4.56,3.30,1.50,0.22,2.69,3.79,6.55,1.26,2000
USW00003991,1.01,1.15,2.62,5.04,2.53,1.68,0.30,0.00,1.21,6.59,6.65,2.62,2000
USC00412617,0.10,0.08,4.19,0.44,0.93,3.22,0.78,0.08,0.35,5.19,0.17,0.00,2000
USC00419191,0.02,0.41,5.22,3.93,0.90,9.95,0.00,0.00,0.00,3.01,2.17,0.00,2000
USC00415341,2.86,2.18,3.57,6.35,6.00,4.85,1.48,0.01,0.56,1.84,9.28,6.61,2000
USC00414077,1.40,0.97,6.46,6.72,8.27,3.48,2.88,0.60,1.21,0.26,12.47,3.74,2000
USC00411063,1.36,0.68,3.84,4.02,3.41,5.47,0.54,0.00,0.09,4.92,5.48,2.33,2000
USC00414254,0.71,1.36,1.07,0.79,3.59,7.89,0.45,0.38,2.21,7.68,4.80,1.57,2000
USC00414920,0.10,1.84,0.29,1.11,2.36,1.89,0.03,0.20,0.80,3.62,5.60,0.95,2000
USC00416074,0.00,0.00,1.54,1.01,0.04,4.48,1.40,0.67,0.00,3.52,2.57,0.00,2000
USC00419836,2.47,1.70,4.02,4.70,4.19,9.72,1.00,0.00,1.72,3.68,9.68,5.64,2000
USC00415579,0.00,0.00,0.40,0.05,1.33,3.61,0.00,0.00,0.00,5.24,1.46,0.00,2000
USC00412408,0.40,0.20,1.99,0.22,1.45,5.55,0.33,0.17,0.00,3.55,3.10,0.97,2000
USC00412404,2.20,1.60,2.90,4.68,2.28,4.87,0.18,0.00,0.33,8.53,7.41,3.68,2000
USW00013972,2.29,3.10,2.36,3.83,8.86,5.22,0.60,0.00,0.01,4.06,12.33,5.99,2000
USC00410586,1.71,2.46,1.60,5.67,5.65,3.04,0.18,3.65,4.20,4.12,12.17,2.54,2000
USC00410639,2.54,0.54,4.32,0.90,4.52,6.73,0.39,0.26,0.72,3.41,5.63,1.69,2000
USC00417066,0.94,2.43,5.92,4.58,10.00,7.74,2.65,0.55,5.68,3.44,13.12,5.36,2000
USC00417060,0.50,0.53,5.45,0.89,3.36,3.92,0.53,0.00,0.00,3.82,2.07,0.00,2000
USC00412361,0.06,0.99,0.43,1.32,0.96,5.98,0.75,0.37,1.86,5.46,2.36,0.63,2000
USC00416335,0.94,1.41,2.67,4.26,3.82,0.88,0.36,0.18,2.36,2.53,12.53,5.25,2000
USC00416331,2.20,0.40,1.71,2.24,3.14,2.77,1.19,0.00,0.00,7.50,6.30,2.06,2000
USC00419313,0.30,3.08,0.92,0.69,3.57,4.66,0.45,0.71,2.56,12.55,9.07,2.24,2000
USC00418373,0.15,0.70,4.71,2.56,0.34,3.34,1.06,0.00,0.04,3.47,2.90,0.55,2000
USC00411042,0.64,0.50,2.73,2.39,1.58,4.03,0.39,0.35,0.17,2.52,4.69,0.35,2000
USC00411045,4.47,2.10,4.65,2.87,4.63,5.17,0.00,0.25,4.17,2.80,8.39,3.87,2000
USC00411048,3.62,1.50,2.54,2.18,10.53,4.52,0.35,1.97,4.43,3.15,9.91,2.53,2000
USC00414278,0.29,0.63,0.39,0.13,2.29,9.60,0.18,0.00,1.38,4.61,6.10,0.19,2000
USC00414903,4.52,2.24,2.31,1.70,5.38,5.75,0.50,0.85,0.29,4.06,8.84,4.13,2000
USC00419815,2.62,2.52,1.75,1.52,6.17,6.35,0.47,0.33,0.93,5.00,11.10,2.94,2000
USC00411215,1.38,1.63,1.40,1.55,2.88,7.29,0.00,0.78,1.31,8.01,9.90,2.32,2000
USW00013958,2.85,1.76,1.15,2.40,3.25,5.27,1.87,0.13,1.76,6.04,7.95,2.88,2000
USW00093914,3.25,1.80,4.41,4.82,5.97,4.57,0.37,0.48,1.21,4.43,13.82,6.05,2000
USC00413215,0.00,0.49,3.48,2.66,0.00,3.13,3.18,0.00,0.00,3.16,1.21,1.10,2000
USC00413214,0.10,0.33,2.87,2.95,0.25,4.26,0.95,0.07,0.00,2.18,0.75,0.00,2000
USC00418646,2.10,2.23,3.35,4.53,4.80,3.56,0.06,0.14,5.42,4.12,8.32,3.22,2000
USC00412160,0.24,2.41,0.27,1.19,0.99,2.76,0.05,0.03,1.19,2.89,2.49,1.48,2000
USC00416130,1.75,0.70,2.94,2.80,1.00,4.67,2.69,0.00,2.07,7.92,7.12,3.50,2000
USC00416137,0.00,0.00,1.18,0.51,0.70,3.77,2.02,0.28,0.00,2.59,1.06,1.30,2000
USC00416680,1.41,0.89,3.42,8.01,9.39,4.08,0.38,3.41,2.75,3.16,9.24,2.30,2000
USC00419153,2.62,2.19,2.56,3.07,4.41,4.40,0.38,0.10,2.22,5.01,10.13,4.35,2000
USC00415659,2.10,0.94,2.94,1.90,3.70,0.70,0.50,0.39,0.28,0.70,9.72,1.61,2000
USC00415658,0.08,0.22,6.49,1.15,0.40,5.64,1.73,0.00,0.00,2.99,2.10,0.80,2000
USC00415650,0.83,1.48,1.07,1.92,3.74,3.87,0.00,0.19,4.54,3.52,10.20,1.19,2000
USC00418354,1.23,0.73,4.10,0.99,1.93,1.98,0.22,0.60,1.28,2.02,4.74,0.10,2000
USC00411026,1.85,1.57,4.06,2.39,4.98,8.64,0.00,0.00,2.54,2.43,7.66,3.23,2000
USC00413972,0.07,0.00,2.00,2.37,0.07,4.83,0.23,0.08,0.00,2.34,1.61,0.00,2000
USC00410958,0.11,0.00,6.80,1.02,0.90,5.37,1.43,0.70,0.09,5.41,0.82,1.13,2000
USC00410950,0.00,0.28,0.00,0.17,0.00,1.85,0.68,0.92,0.20,4.99,1.75,0.61,2000
USC00417743,0.33,0.42,1.25,1.03,0.71,7.13,0.05,0.00,0.39,4.29,2.50,0.00,2000
USC00415821,0.15,0.24,6.06,4.16,1.18,9.23,0.85,0.00,0.00,2.40,1.62,1.08,2000
USC00415822,0.19,0.89,0.50,1.06,0.98,5.10,2.07,0.02,2.09,6.26,7.62,1.31,2000
USC00418160,2.23,2.76,1.29,3.90,7.54,1.97,1.72,0.78,3.87,5.33,10.87,2.48,2000
USC00412444,2.85,1.99,6.25,4.05,8.88,4.94,0.34,0.25,2.44,3.04,12.36,6.03,2000
USC00411236,0.93,1.23,3.05,2.03,1.05,2.86,1.15,0.00,0.50,8.87,6.16,2.04,2000
USC00411239,0.60,0.56,1.16,1.06,2.91,6.68,0.10,0.00,1.20,5.46,5.82,0.95,2000
USC00411490,1.93,3.03,2.98,2.53,4.89,7.14,0.31,0.00,0.52,5.47,7.53,3.55,2000
USC00411492,0.31,1.70,1.12,1.03,1.93,3.77,0.74,0.83,3.80,7.38,4.22,1.14,2000
USC00410012,0.02,0.03,1.72,1.95,0.98,5.00,1.58,0.08,0.00,4.41,2.85,1.30,2000
USC00417530,1.17,0.75,7.42,2.11,3.43,1.53,0.03,2.09,1.00,5.16,5.52,1.49,2000
USC00417533,1.51,0.88,4.29,1.78,4.50,1.76,1.72,0.95,1.19,3.97,6.52,1.48,2000
