id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00422864,0.51,1.03,1.30,1.33,0.43,0.49,1.63,0.69,1.61,2.53,0.15,0.00,2000
USC00428733,3.67,2.90,1.37,1.10,1.57,0.15,0.40,1.90,1.56,3.00,1.04,1.44,2000
USC00427729,3.59,4.57,2.41,0.69,1.81,1.64,1.30,1.07,1.46,3.17,1.64,2.44,2000
USC00422798,0.41,1.22,0.68,0.00,0.82,0.52,0.36,0.67,0.38,2.47,0.25,0.20,2000
USC00420072,6.31,6.54,6.63,2.15,2.50,0.32,0.83,3.26,2.81,5.08,4.08,4.91,2000
USW00023176,0.80,1.47,0.52,0.78,0.45,1.02,0.01,0.48,0.53,2.97,0.19,0.19,2000
USW00023170,0.11,0.20,0.54,0.00,0.35,0.15,0.02,0.49,0.13,1.78,0.38,0.16,2000
USC00424174,1.06,1.46,0.76,0.72,1.29,0.54,0.14,1.83,0.56,1.40,0.50,0.07,2000
USC00429717,0.78,3.43,1.96,0.30,0.32,0.01,0.21,1.39,0.33,2.53,0.99,0.14,2000
USC00426534,1.21,2.87,2.13,0.20,0.35,2.22,0.08,0.81,0.23,3.11,0.46,0.41,2000
USC00426538,1.39,1.49,0.64,0.65,0.84,0.21,0.14,1.52,1.43,1.98,0.88,0.38,2000
USC00424362,2.00,3.18,0.89,0.66,1.39,0.30,0.15,2.11,1.53,2.52,0.50,0.52,2000
USC00425182,1.43,2.46,1.33,1.18,1.78,0.14,0.29,2.21,1.12,2.52,0.70,1.24,2000
USC00422607,0.32,0.68,0.25,0.14,0.85,0.31,0.00,1.21,0.50,1.96,0.16,0.00,2000
USC00427271,2.04,2.78,1.59,1.83,1.48,0.29,0.19,2.22,1.22,3.67,0.61,1.18,2000
USC00421759,3.06,2.89,2.17,0.99,1.87,0.19,0.63,2.44,1.88,2.46,2.51,1.56,2000
USC00426708,0.44,0.91,0.10,0.58,2.22,0.24,0.02,1.65,0.74,1.46,0.29,0.12,2000
USC00424755,0.21,1.50,1.46,0.15,0.21,0.19,0.07,1.08,0.75,5.34,0.09,0.09,2000
USC00424135,3.20,3.48,1.96,0.94,1.41,0.30,0.42,3.46,1.18,1.85,1.22,1.84,2000
