id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00441999,2.59,1.55,3.77,6.20,1.87,5.47,4.11,4.46,7.41,0.00,2.45,2.03,2000
USC00442064,1.55,1.90,2.94,4.52,3.70,6.08,4.28,3.88,4.21,0.01,2.02,2.39,2000
USC00447338,2.14,1.17,3.09,6.02,3.62,5.41,3.24,4.57,7.63,0.04,1.92,2.52,2000
USC00441746,6.47,1.89,3.11,4.54,4.65,8.71,5.20,2.65,3.30,0.00,1.88,1.93,2000
USC00445880,2.19,3.12,4.14,4.15,4.63,6.80,4.67,6.44,5.43,0.23,2.60,2.38,2000
USC00444101,4.45,1.38,3.78,5.88,3.72,3.98,5.44,5.02,5.59,0.00,2.47,1.78,2000
USC00448170,3.52,1.79,3.17,5.86,2.14,3.56,1.55,2.53,7.49,0.00,1.84,1.73,2000
USC00441082,4.66,1.43,3.57,5.14,3.74,3.96,5.70,3.21,3.28,0.15,2.32,0.97,2000
USC00448547,3.51,1.54,3.43,5.26,1.76,4.65,5.64,5.00,3.06,0.00,2.67,1.43,2000
USW00013743,3.67,2.07,3.98,5.14,3.08,4.94,5.51,3.77,4.91,0.02,1.60,2.02,2000
USW00013741,2.08,1.69,2.87,5.72,2.67,4.58,7.16,3.16,5.88,0.02,2.09,1.67,2000
USW00013740,3.96,1.60,3.67,4.78,3.04,6.07,4.05,8.28,3.61,0.01,1.72,2.38,2000
USC00443310,2.15,2.34,4.04,3.09,3.02,4.31,4.32,3.87,3.65,0.00,1.88,0.85,2000
USC00442208,1.17,1.38,2.68,3.00,3.94,7.30,4.96,2.46,5.90,0.07,1.21,1.24,2000
USC00441209,3.46,2.91,3.70,3.76,2.54,4.92,6.36,5.14,3.55,0.33,1.76,1.93,2000
USC00444414,4.85,1.66,3.07,4.26,4.20,4.80,6.13,3.31,2.72,0.00,1.41,1.47,2000
USC00444410,3.22,1.91,3.10,4.19,1.43,3.73,5.89,5.27,2.87,0.33,1.73,2.17,2000
USC00443991,2.81,1.44,3.64,5.72,2.48,8.58,3.41,4.00,3.83,0.00,2.39,2.21,2000
