id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00436391,3.58,2.73,2.69,5.63,4.56,2.87,2.73,3.26,3.24,2.81,3.21,4.84,2000
USC00436500,3.24,0.21,3.37,3.50,5.38,8.45,3.53,1.21,4.26,2.35,1.85,1.89,2000
USC00437646,3.11,2.38,2.80,6.22,6.44,2.10,1.94,3.28,1.83,2.02,2.15,3.07,2000
USC00437098,2.93,3.40,2.35,4.78,5.53,3.04,4.42,4.17,1.50,3.42,3.06,4.37,2000
USC00434747,4.98,4.05,4.07,5.21,5.26,4.41,7.33,4.32,3.02,3.15,2.81,5.26,2000
USC00432843,2.67,3.29,2.15,5.89,6.70,3.02,5.04,3.39,3.08,2.31,3.09,3.49,2000
USC00435376,3.62,3.40,2.11,5.71,7.16,2.83,2.88,3.50,1.65,2.19,2.94,4.59,2000
USC00436995,3.19,3.15,2.25,4.99,5.04,5.43,7.11,3.01,1.51,2.37,1.69,5.53,2000
USC00434261,3.88,3.81,3.53,8.50,7.16,4.09,5.56,5.47,3.29,3.34,4.83,5.19,2000
USW00054781,2.43,2.00,1.86,1.57,3.20,3.23,3.81,5.95,1.71,1.12,0.69,2.41,2000
USC00432773,0.95,0.60,1.37,3.58,5.50,2.85,3.33,5.39,4.08,1.44,3.05,1.34,2000
USC00435273,3.46,2.84,2.36,6.29,4.39,3.12,2.45,4.91,2.19,2.79,3.76,5.02,2000
USC00436893,4.13,3.85,3.46,6.09,6.12,4.29,9.76,2.45,1.60,3.18,2.89,6.27,2000
USW00054742,1.53,2.30,2.15,6.29,5.71,1.65,1.95,3.72,3.04,2.57,3.51,2.13,2000
USW00054740,3.23,3.78,2.62,4.76,3.78,3.43,7.45,2.44,1.14,2.98,2.46,3.70,2000
USC00439591,4.63,3.81,4.85,5.83,4.77,5.30,7.73,3.65,2.22,3.41,3.24,5.06,2000
USC00433341,2.49,2.50,1.95,5.90,5.41,1.70,1.94,2.53,2.54,2.13,3.04,3.06,2000
USC00434189,4.19,5.63,3.22,8.24,6.90,4.78,6.48,7.24,5.50,3.94,4.75,8.95,2000
USC00431243,4.46,3.81,3.65,5.27,4.37,4.33,6.19,4.47,2.29,2.87,2.73,4.91,2000
USC00438160,4.68,3.46,3.15,1.66,6.67,4.35,5.93,4.84,2.42,3.09,2.51,5.18,2000
USC00439984,4.09,3.58,3.57,5.70,3.41,4.28,8.44,2.72,1.80,2.80,2.84,4.94,2000
USC00437612,3.57,3.05,4.08,7.15,6.55,4.15,7.61,4.74,2.26,3.55,2.90,4.49,2000
USC00434120,3.15,3.00,2.19,5.78,6.04,3.63,3.49,4.13,4.81,2.25,3.70,4.83,2000
USC00430661,4.42,3.35,3.05,5.98,4.51,3.09,5.29,2.81,1.18,2.96,2.70,5.63,2000
USC00431433,3.36,3.76,3.22,5.41,5.37,5.41,6.77,3.50,1.69,2.71,3.26,5.40,2000
USC00430277,4.57,3.91,4.78,5.09,4.95,5.56,7.63,4.81,2.13,4.05,2.79,5.09,2000
USC00438637,3.55,3.48,3.55,4.83,6.98,2.78,3.23,4.97,1.97,3.18,2.30,5.55,2000
USC00438556,3.83,2.97,2.75,5.29,4.53,3.43,3.67,4.46,2.11,2.53,2.61,3.98,2000
USC00430940,3.71,3.95,3.00,6.31,3.46,2.67,3.59,3.76,1.45,3.46,3.54,4.24,2000
USW00054771,3.04,1.33,0.98,2.19,3.71,1.33,2.52,5.73,2.00,1.61,2.73,3.76,2000
USW00094705,2.86,2.63,1.29,4.90,4.83,2.93,2.78,3.85,1.51,2.47,2.98,4.30,2000
USW00014742,2.30,2.68,1.63,5.02,6.13,3.56,3.16,3.67,3.02,1.80,2.96,3.36,2000
