id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USW00024233,3.77,5.26,2.83,1.48,3.27,1.61,0.23,0.33,1.12,3.00,3.28,2.51,2000
USW00024234,3.85,5.25,2.96,1.24,2.52,1.25,0.40,0.45,0.96,3.33,3.15,2.57,2000
USW00024237,11.89,5.86,7.09,4.52,5.28,3.53,0.96,0.72,9.66,4.00,5.78,5.58,2000
USC00456909,10.00,6.83,4.82,2.68,3.74,3.00,2.50,1.00,1.91,7.79,4.52,3.52,2000
USC00451630,2.48,1.96,3.11,1.50,1.81,1.79,0.45,0.00,0.61,1.45,1.39,1.49,2000
USW00094248,3.59,5.02,2.97,1.31,3.07,1.49,0.55,0.38,1.20,3.29,3.26,2.49,2000
USW00094240,12.45,8.35,9.77,7.04,9.32,5.68,2.81,1.21,5.44,8.63,5.60,6.73,2000
USC00456914,13.17,4.72,6.49,4.25,4.96,5.43,0.16,1.06,3.00,6.34,4.15,5.62,2000
USC00453177,8.90,8.17,6.06,4.28,5.19,3.75,0.54,0.88,5.54,3.20,5.96,6.49,2000
USC00454679,1.57,1.42,1.29,0.45,0.69,0.78,0.46,0.00,1.12,0.91,0.85,0.55,2000
USC00453546,1.50,1.59,1.99,0.95,0.90,0.95,0.59,0.01,1.15,0.94,1.13,0.69,2000
USW00094266,3.24,1.61,1.68,0.90,1.95,1.18,0.48,0.29,1.23,2.57,3.43,2.26,2000
USW00094225,11.58,5.00,5.61,3.83,5.66,4.44,0.28,1.12,2.52,5.31,4.80,5.60,2000
USW00094227,10.74,7.72,5.25,2.45,4.36,3.27,0.23,1.11,2.55,3.11,4.30,6.17,2000
USC00450176,3.82,1.47,2.72,2.46,2.69,1.22,1.24,1.22,1.48,2.41,2.39,3.41,2000
USC00459238,2.44,0.98,2.10,1.02,0.94,1.32,0.77,0.00,0.55,0.77,1.05,0.69,2000
USC00458520,1.03,1.11,1.03,0.33,0.70,0.61,0.15,0.09,0.42,0.78,0.57,0.00,2000
USC00457342,4.04,3.85,1.10,0.22,0.44,0.31,0.00,0.00,0.44,0.89,1.03,1.99,2000
USC00457696,10.03,14.31,5.65,4.85,7.72,3.16,0.32,0.18,3.44,6.98,5.58,6.05,2000
USC00451691,1.64,1.54,1.57,0.32,0.96,0.72,0.30,0.00,1.18,0.69,1.21,0.84,2000
USC00451690,1.28,1.24,1.09,0.75,0.66,0.71,0.92,0.00,0.83,0.83,1.29,0.46,2000
USC00452675,4.33,2.92,4.82,2.70,3.06,1.62,0.72,0.46,1.82,3.46,1.93,2.63,2000
USW00094197,0.56,0.31,0.26,0.22,0.25,0.14,0.09,0.13,0.07,0.72,0.18,0.52,2000
USC00451205,12.41,7.40,7.89,4.35,3.76,4.80,0.59,0.55,4.08,6.18,4.11,5.72,2000
USC00459012,2.02,0.84,0.77,0.00,0.22,0.45,0.35,0.00,0.06,0.33,0.90,1.41,2000
USC00458059,7.89,4.27,2.72,0.65,0.89,0.61,0.58,0.00,1.20,1.92,3.35,3.42,2000
USC00455844,4.60,2.57,1.52,3.05,2.50,1.95,0.11,0.00,1.09,4.54,0.80,0.72,2000
USC00452220,9.96,3.17,3.73,3.13,3.26,1.84,0.38,0.54,2.16,3.84,3.50,2.20,2000
USC00450844,3.41,2.80,3.27,2.09,3.24,2.29,1.32,0.24,1.12,1.76,1.44,1.28,2000
USC00455231,1.29,1.59,0.89,0.05,0.88,0.30,0.00,0.00,0.63,1.28,1.04,0.34,2000
USC00453320,9.33,6.31,7.30,3.17,4.42,4.67,0.45,1.47,2.52,5.57,5.11,5.91,2000
USC00455840,9.57,6.09,8.25,4.48,5.49,4.00,1.62,1.33,5.63,5.41,4.47,5.06,2000
USC00457185,7.97,5.02,5.88,2.36,3.93,2.80,1.52,0.70,3.33,3.81,3.79,4.50,2000
USC00455774,14.76,12.20,8.63,4.45,6.69,8.30,0.20,1.04,3.30,7.20,6.15,10.39,2000
USW00024141,0.97,1.35,0.91,0.52,0.92,0.37,0.08,0.00,0.14,0.33,0.98,0.87,2000
USW00094176,1.98,1.94,1.87,2.64,2.43,0.81,0.19,0.00,1.03,0.50,1.34,1.37,2000
USC00452563,1.97,2.10,1.07,0.07,0.60,0.14,0.16,0.00,0.30,0.57,1.22,1.14,2000
USC00454084,11.19,6.21,6.21,3.46,4.85,2.59,0.13,0.41,2.10,5.34,4.06,5.81,2000
USW00024160,2.22,3.44,2.93,1.03,3.80,1.36,0.12,0.00,1.43,1.56,1.77,1.24,2000
USW00024163,1.14,1.20,0.91,0.20,0.70,0.64,0.02,0.01,1.02,1.13,4.28,0.60,2000
USW00094119,2.94,2.78,2.53,3.49,2.28,1.63,0.46,0.02,0.93,1.09,1.89,1.08,2000
USC00452542,1.64,1.43,1.07,0.52,0.98,0.57,0.41,0.00,1.23,1.08,1.27,0.85,2000
USC00452548,5.74,3.23,3.73,1.93,3.52,1.65,0.46,0.41,0.93,4.34,5.34,4.19,2000
USC00457727,1.28,1.15,0.91,0.61,1.01,0.40,0.20,0.02,0.32,0.52,1.09,0.73,2000
USC00455387,2.46,3.23,2.80,0.96,2.93,1.73,0.09,0.00,1.50,1.70,1.08,1.57,2000
USC00455659,5.52,4.98,1.14,0.28,2.18,2.41,0.00,0.00,0.86,2.21,2.57,2.85,2000
USC00451760,17.96,15.33,7.56,5.89,7.06,6.38,0.17,0.62,3.88,7.74,7.26,8.23,2000
USC00450587,3.69,2.06,3.22,3.03,4.33,1.86,2.37,1.13,1.89,2.60,2.78,4.10,2000
USC00457267,2.53,2.85,2.37,1.28,1.50,0.94,0.33,0.00,1.55,0.76,1.32,1.30,2000
USC00459376,1.81,1.96,0.69,0.37,0.83,0.45,1.87,0.04,0.07,1.04,1.19,1.24,2000
USC00452030,2.99,2.29,2.64,0.79,3.25,1.46,0.29,0.00,1.54,2.44,1.54,0.96,2000
USC00456039,1.70,1.38,1.52,1.34,1.11,0.56,0.53,0.00,0.75,0.59,1.09,0.95,2000
USC00456295,6.95,8.79,8.19,8.67,8.00,5.56,1.42,1.46,5.19,6.45,5.83,5.78,2000
USC00452507,1.37,1.30,0.30,0.65,1.11,0.24,0.00,0.00,0.31,0.18,0.73,0.53,2000
USC00452505,1.37,1.37,0.61,0.71,0.40,0.17,0.00,0.00,0.38,0.29,0.99,0.94,2000
USC00455086,15.00,5.95,7.76,4.63,6.03,6.04,0.35,1.35,3.04,5.20,6.37,7.84,2000
USC00451350,2.60,1.87,1.28,0.00,0.65,0.38,0.19,0.00,0.02,0.71,1.67,0.77,2000
USC00456974,1.70,1.42,1.74,0.59,0.91,1.24,1.30,0.14,0.91,0.95,0.85,1.06,2000
USW00024241,6.92,5.57,3.61,2.19,2.31,1.80,0.58,0.39,2.25,2.63,1.83,3.33,2000
USW00024243,1.65,1.01,0.61,0.53,0.54,0.13,0.05,0.00,0.19,0.32,0.70,0.70,2000
USC00459074,1.13,1.63,0.23,0.03,0.27,0.31,0.04,0.00,0.12,0.12,0.93,0.93,2000
USC00450257,5.35,3.99,4.74,4.18,4.78,2.22,1.01,1.18,3.28,2.85,2.18,3.81,2000
USC00452914,15.88,8.57,10.28,7.42,8.55,5.20,3.72,0.91,5.91,9.81,6.28,10.10,2000
USC00455525,5.20,4.30,5.31,3.36,4.57,1.40,1.84,1.39,3.61,3.34,3.75,3.71,2000
USC00451783,2.40,1.35,1.21,1.69,1.81,1.13,0.71,0.68,2.12,1.09,1.75,1.46,2000
USC00453222,3.82,3.06,1.23,0.59,0.73,0.21,0.00,0.00,0.34,1.00,1.27,1.40,2000
USC00456898,21.99,8.98,12.84,6.81,6.36,3.93,0.74,0.41,6.74,5.80,6.53,10.72,2000
USC00450945,4.02,6.10,5.06,4.41,4.47,2.35,0.30,0.84,2.58,4.05,3.64,3.17,2000
USC00454169,3.71,5.72,2.43,1.50,2.85,2.94,0.50,0.39,1.22,4.15,2.85,2.50,2000
USC00451484,3.07,3.72,4.53,3.80,5.77,5.40,1.82,1.15,3.84,3.65,2.82,3.16,2000
USW00024227,8.14,5.83,5.09,2.40,3.28,2.51,0.06,0.41,1.98,4.28,3.65,3.89,2000
USW00024222,3.88,3.21,3.52,2.14,2.50,1.00,0.96,0.74,2.02,2.84,2.50,2.51,2000
USW00024220,1.56,1.33,0.72,0.31,0.39,0.11,0.01,0.00,1.07,0.22,0.84,0.74,2000
USC00453184,7.50,5.60,1.20,0.26,1.29,0.95,0.00,0.00,0.50,1.28,0.85,1.39,2000
