id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USC00477997,0.75,1.01,1.50,2.13,4.79,10.11,4.82,3.48,1.48,0.86,1.72,1.58,2000
USC00471155,1.42,1.59,2.11,1.87,1.31,7.04,7.43,3.77,0.95,1.63,2.16,1.15,2000
USC00476208,1.37,0.71,1.37,3.31,3.96,5.32,4.48,2.15,4.87,0.34,1.94,2.15,2000
USC00476200,0.83,1.82,1.13,2.84,8.54,4.78,5.80,4.91,5.02,1.02,2.50,2.02,2000
USC00475516,1.07,1.67,1.54,2.57,1.94,5.96,6.54,4.02,2.71,1.17,2.17,1.20,2000
USC00474174,1.54,1.69,2.03,4.80,8.41,7.51,5.55,2.00,5.71,1.76,3.32,2.69,2000
USC00470929,1.22,1.87,1.09,3.23,9.38,9.58,2.28,3.94,3.16,0.82,1.85,2.78,2000
USC00470696,1.21,2.01,0.94,4.74,6.25,9.52,3.61,2.87,6.49,0.71,2.44,2.00,2000
USC00472996,1.49,0.47,2.21,1.63,4.07,9.98,3.22,3.92,1.59,1.03,2.89,2.05,2000
USC00475164,0.86,0.43,1.21,4.16,3.54,10.26,4.64,3.13,2.58,0.48,2.47,1.33,2000
USW00014837,0.91,1.95,1.17,3.19,9.63,8.63,3.26,3.94,3.59,0.68,2.01,1.39,2000
USC00470265,0.82,0.52,0.86,2.19,4.71,3.20,3.01,3.00,4.74,0.50,1.59,2.04,2000
USC00470486,0.84,1.26,0.98,1.30,4.25,5.69,4.97,2.66,1.87,1.33,5.52,0.93,2000
USC00475286,0.99,1.49,2.30,1.29,2.59,3.66,7.69,2.75,1.01,1.43,3.09,2.28,2000
USC00475573,1.17,2.63,0.68,3.48,5.03,10.56,2.36,1.97,5.04,0.92,1.69,2.17,2000
USC00479050,1.04,1.56,1.41,3.20,5.96,4.58,4.24,3.08,5.57,1.10,7.65,2.22,2000
USC00478672,1.71,1.96,0.92,2.33,5.74,2.09,4.94,3.54,3.49,1.33,2.26,2.94,2000
USC00476413,0.49,1.54,2.06,0.89,2.23,4.54,2.59,4.36,1.30,1.30,4.35,0.96,2000
USC00474366,0.94,0.48,1.65,1.54,5.94,7.30,4.21,2.54,1.10,1.08,2.41,1.91,2000
USC00472240,0.68,1.58,1.52,1.69,3.13,3.57,4.00,4.00,1.30,1.81,4.83,1.37,2000
