id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USW00013729,1.63,4.19,3.27,4.12,4.30,5.07,4.72,3.83,8.88,0.69,1.91,1.88,2000
USC00465353,1.48,3.87,2.87,5.31,2.82,8.31,6.65,3.00,6.11,0.96,1.37,2.86,2000
USC00467455,2.31,3.12,2.23,4.20,4.01,5.04,4.34,4.38,6.18,0.13,1.75,1.66,2000
USC00460355,2.52,1.89,2.73,4.25,2.72,2.97,5.98,3.86,2.72,0.00,1.15,0.66,2000
USC00465672,4.15,3.50,3.73,4.29,3.83,6.39,3.08,7.89,4.05,0.19,2.50,1.93,2000
USC00466325,2.33,2.84,2.84,4.89,4.21,4.92,8.42,4.95,3.06,0.35,2.03,0.48,2000
USC00468522,1.96,5.00,2.67,5.48,3.82,7.50,2.64,5.97,4.43,1.53,2.19,2.37,2000
USC00467207,2.39,1.96,2.37,3.81,3.04,4.81,5.62,3.43,1.88,0.06,1.07,0.86,2000
USC00465875,3.40,4.15,3.78,4.98,7.69,5.09,7.25,5.19,4.23,0.48,3.36,2.27,2000
USC00463846,1.99,4.13,2.51,3.11,4.07,6.74,7.76,4.40,1.89,0.70,1.48,2.71,2000
USC00468308,5.13,5.99,4.44,5.01,5.08,7.09,5.70,6.43,5.83,0.79,3.95,3.63,2000
USC00467018,1.66,3.12,2.94,4.77,5.37,3.96,2.61,4.31,2.45,2.06,1.74,3.04,2000
USC00462697,1.94,4.91,3.29,4.17,3.69,3.86,5.04,3.52,4.20,1.83,1.64,1.56,2000
USC00464840,1.69,3.11,2.94,2.83,3.98,4.05,3.26,4.44,3.61,0.69,2.00,1.61,2000
USW00003802,1.97,4.67,3.13,4.66,5.39,5.40,5.37,2.56,3.46,1.52,1.80,2.05,2000
USC00463215,1.07,1.91,2.38,2.42,3.24,3.26,4.31,3.43,3.49,0.04,1.93,1.60,2000
USC00462462,2.31,3.34,2.90,5.15,3.94,5.93,4.78,5.62,3.71,1.33,0.96,2.41,2000
USC00466600,2.92,4.24,3.14,5.57,3.74,8.13,8.07,3.78,3.46,0.70,1.79,2.66,2000
USC00467552,1.23,5.19,3.06,4.46,3.89,5.74,4.76,5.87,3.08,1.06,1.67,2.14,2000
USC00467730,0.78,2.75,2.54,2.17,3.33,3.97,4.34,8.20,3.39,0.71,1.87,1.91,2000
USC00461397,3.71,5.63,3.63,4.48,6.07,3.74,7.02,6.35,6.15,1.38,3.45,3.15,2000
USW00003860,1.92,5.40,2.71,4.16,3.57,4.04,5.07,4.52,3.62,0.64,0.95,3.34,2000
USC00466952,1.43,2.70,2.70,1.66,3.74,2.35,3.47,5.52,2.72,0.10,1.68,1.49,2000
USC00461075,1.69,3.80,2.63,4.54,6.20,5.78,7.39,4.85,1.89,0.77,1.31,3.04,2000
USC00465563,1.59,3.39,2.54,3.96,4.77,7.52,7.06,5.42,3.06,0.85,1.41,2.17,2000
USC00460094,1.60,5.45,3.19,3.63,4.21,6.30,5.55,1.70,3.61,1.50,2.13,2.13,2000
USC00464200,1.99,5.33,2.48,3.70,3.69,3.95,7.15,5.19,5.68,0.61,1.17,3.69,2000
USC00465002,1.43,5.01,3.22,5.07,6.43,6.92,5.71,5.61,2.16,2.73,1.60,2.74,2000
USC00469436,3.70,4.63,2.79,4.41,4.70,7.32,4.10,4.63,4.85,1.74,1.97,2.97,2000
USC00463798,3.17,4.81,3.70,7.63,5.25,7.96,5.78,9.00,7.41,1.29,2.42,3.01,2000
USC00469458,1.35,5.07,2.91,4.38,3.39,5.18,6.68,4.17,3.67,1.80,1.72,1.58,2000
USC00469336,2.72,4.27,3.21,5.87,5.10,6.34,5.29,7.78,5.87,1.37,2.12,2.13,2000
USC00461324,1.50,0.85,2.55,1.99,1.59,8.03,5.14,3.73,4.65,0.69,2.50,0.48,2000
USC00466248,1.52,3.09,3.49,4.05,4.94,4.94,3.56,4.07,3.55,2.00,1.81,2.37,2000
USC00462151,2.44,4.51,2.72,3.84,3.82,4.29,3.78,6.40,6.69,0.65,1.87,1.97,2000
USC00464408,1.84,2.16,3.07,3.17,3.95,2.24,8.22,4.81,2.60,0.27,1.84,2.29,2000
USC00462522,1.92,2.91,2.91,4.99,3.97,6.35,7.27,3.54,3.59,0.51,1.31,2.89,2000
USW00003872,1.80,2.75,2.46,4.15,3.43,4.60,5.53,4.23,6.24,0.50,1.67,1.63,2000
USC00461220,1.87,5.01,2.92,5.61,3.59,7.64,3.02,5.04,4.90,1.67,1.51,2.55,2000
USC00466163,0.96,2.44,2.49,1.47,3.60,3.89,4.57,4.69,2.91,0.20,1.71,1.59,2000
USC00465224,2.48,2.46,2.83,3.76,4.09,5.08,4.31,4.85,3.93,0.04,1.49,2.12,2000
USC00467287,1.44,6.74,3.88,4.85,4.28,3.71,5.01,6.21,3.10,0.92,1.62,1.48,2000
USC00469683,0.72,3.90,1.67,3.85,2.76,6.25,4.06,4.18,2.33,0.56,0.91,1.85,2000
USC00466284,3.19,4.30,2.94,6.61,5.37,7.82,5.69,7.74,5.85,1.63,1.94,2.57,2000
USC00462054,1.22,5.59,2.93,4.20,2.58,4.78,3.44,3.46,4.43,1.11,1.75,1.55,2000
USC00460925,3.01,2.54,3.09,3.97,3.63,5.81,7.48,4.01,2.57,0.30,1.47,1.66,2000
USC00465600,2.45,3.56,2.52,5.01,3.12,8.40,10.13,4.05,4.57,0.58,2.28,2.61,2000
USC00462920,1.43,5.84,2.96,5.03,4.90,4.25,4.61,3.15,4.22,1.47,1.83,4.50,2000
USC00461723,1.52,3.87,1.96,5.52,3.91,5.42,6.47,5.90,4.25,0.96,1.80,2.84,2000
USC00461282,2.38,5.11,2.32,4.16,3.74,6.52,3.11,6.56,5.83,1.72,1.57,1.47,2000
USC00469281,0.76,2.02,2.75,2.30,3.61,2.37,2.67,4.38,6.68,0.21,1.28,1.76,2000
