id1,JanPrec,FebPrec,MarPrec,AprPrec,MayPrec,JunPrec,JulPrec,AugPrec,SepPrec,OctPrec,NovPrec,DecPrec,Year
USW00024057,0.25,1.61,0.59,1.82,2.04,0.29,0.17,0.16,1.03,0.63,0.16,0.18,2000
USC00489580,0.30,0.25,0.00,2.54,2.77,2.57,1.41,0.07,0.92,0.91,0.97,0.03,2000
USC00485055,0.81,0.59,0.39,1.81,3.80,1.08,0.52,0.59,0.66,1.20,0.59,0.37,2000
USC00482580,0.53,0.57,0.73,3.01,2.09,1.34,0.97,0.30,0.72,0.37,1.53,0.24,2000
USC00482054,2.02,1.09,0.60,0.25,1.21,0.30,0.06,1.19,0.28,1.15,0.65,0.74,2000
USC00482725,0.32,0.43,0.74,3.46,2.00,1.33,1.23,0.44,1.22,0.55,1.07,0.26,2000
USC00480140,2.81,2.07,1.94,1.81,3.10,1.22,1.17,1.40,0.70,2.79,1.31,1.65,2000
USC00489025,1.13,0.87,1.20,0.78,2.80,1.77,0.20,1.66,2.21,1.02,0.23,0.85,2000
USC00481775,1.19,0.29,0.10,0.69,1.27,0.48,0.85,0.11,0.17,0.88,0.07,0.03,2000
USC00485252,0.40,0.41,0.20,0.14,1.66,0.00,0.52,0.92,1.40,0.48,0.13,0.00,2000
USC00484065,0.29,0.78,0.72,1.19,0.33,0.35,0.30,0.86,0.24,0.87,0.78,0.13,2000
USC00488808,0.14,1.38,0.72,2.08,3.76,2.22,0.15,0.54,2.48,0.53,1.67,0.86,2000
USC00481840,1.63,0.99,0.32,1.45,1.38,1.27,0.64,0.38,0.69,0.80,0.34,0.27,2000
USW00024018,0.35,0.59,1.48,0.58,1.38,0.46,2.65,1.88,2.65,0.69,0.30,0.76,2000
USC00484080,0.25,0.25,0.01,0.79,1.55,0.87,0.42,0.25,0.33,0.90,0.04,0.01,2000
USC00488192,0.48,1.13,0.70,2.28,1.92,0.84,0.05,0.88,1.59,0.44,0.59,0.60,2000
USC00487473,0.00,0.01,0.01,0.88,1.15,0.40,0.24,0.13,0.92,0.67,0.09,0.07,2000
USC00481730,0.46,1.01,1.44,1.59,3.33,1.92,0.50,0.47,2.73,0.23,2.12,1.29,2000
USC00484925,0.09,0.25,0.82,0.96,1.90,0.63,1.01,0.54,1.37,0.07,1.11,0.15,2000
USC00480027,1.80,1.33,1.12,1.41,1.65,0.77,0.54,1.45,0.75,1.34,1.26,0.31,2000
USC00484760,0.52,0.96,1.11,1.43,1.89,2.93,1.47,0.25,1.03,1.26,4.18,0.13,2000
USC00481284,0.00,0.40,0.65,0.40,1.97,0.23,0.14,0.38,0.75,0.15,0.16,0.13,2000
USC00485506,0.66,0.35,0.88,1.62,1.67,1.85,0.44,0.16,1.09,1.02,0.45,0.52,2000
USC00485435,0.31,0.27,0.59,1.54,2.81,0.81,0.75,1.02,1.82,1.19,0.32,0.33,2000
USC00487555,0.78,0.56,0.92,3.96,2.17,0.83,1.10,0.27,1.33,0.47,1.29,0.27,2000
USC00487388,0.63,0.16,0.38,0.31,1.46,1.31,1.07,0.18,0.35,1.92,0.17,0.18,2000
USW00094057,0.46,0.69,0.60,2.33,1.30,0.97,0.46,0.30,1.90,1.56,0.25,0.31,2000
USW00094053,0.50,0.57,0.93,2.23,1.43,0.43,1.20,1.07,1.77,1.24,0.10,0.20,2000
USC00480865,3.35,2.78,1.24,0.76,1.43,0.78,0.70,1.12,0.74,1.89,1.08,2.50,2000
USC00488884,0.08,0.33,0.26,2.20,1.48,1.23,0.21,0.36,2.74,0.97,0.39,0.42,2000
