id,state,lat,lon
USC00010008,AL,31.5703,-85.2483
USC00010063,AL,34.2553,-87.1814
USC00010140,AL,32.2322,-87.4103
USC00010160,AL,32.9453,-85.9481
USC00010178,AL,33.1272,-88.155
USC00010184,AL,33.21,-88.2878
USC00010252,AL,31.3072,-86.5225
USC00010260,AL,34.9092,-87.2747
USC00010369,AL,33.2942,-85.7789
USC00010390,AL,34.7753,-86.9508
USC00010402,AL,31.1819,-87.4389
USC00010425,AL,32.5992,-85.4653
USC00010430,AL,32.6,-85.5
USC00010440,AL,32.4706,-86.68
USC00010505,AL,33.4528,-87.3572
USC00010583,AL,30.8839,-87.7853
USC00010655,AL,34.6908,-86.8825
USC00010748,AL,33.6972,-87.6492
USC00010764,AL,33.3953,-87.0078
USC00010957,AL,34.2008,-86.1633
USC00011080,AL,31.1414,-87.0486
USC00011084,AL,31.0581,-87.0547
USC00011099,AL,34.9786,-85.8008
USC00011178,AL,31.7056,-85.8369
USC00011288,AL,33.0944,-86.7456
USC00011301,AL,32.0289,-87.3167
USC00011324,AL,32.8236,-85.6561
USC00011377,AL,33.8464,-87.4872
USC00011490,AL,34.15,-85.6847
USC00011620,AL,33.285,-86.3431
USC00011690,AL,31.6167,-87.55
USC00011694,AL,32.8203,-86.6522
USC00011810,AL,31.7556,-88.1283
USC00012096,AL,34.1925,-86.7972
USC00012172,AL,30.2506,-88.0775
USC00012245,AL,32.5192,-87.88
USC00012377,AL,31.1942,-85.3708
USC00012577,AL,31.4239,-86.0667
USC00012675,AL,31.2975,-85.8997
USC00012730,AL,32.0111,-85.09
USC00012758,AL,31.445,-86.9533
USC00012813,AL,30.5467,-87.8808
USC00012840,AL,34.3667,-86.8833
USC00012883,AL,33.6847,-87.8214
USC00013043,AL,34.4406,-85.7236
USC00013154,AL,34.0219,-85.9878
USC00013160,AL,32.8347,-88.1342
USC00013251,AL,31.0383,-85.8708
USC00013271,AL,31.6772,-86.8061
USC00013430,AL,33.6667,-87.1833
USC00013511,AL,32.7019,-87.5817
USC00013519,AL,31.79,-86.6086
USC00013573,AL,34.3344,-86.3297
USC00013575,AL,34.3347,-86.3294
USC00013620,AL,34.2314,-87.6353
USC00013645,AL,34.0967,-87.9914
USC00013655,AL,34.0675,-86.7917
USC00013761,AL,31.3625,-85.3397
USC00013775,AL,33.6483,-85.6006
USC00013781,AL,33.2725,-86.8336
USC00013816,AL,31.8814,-86.2503
USC00013930,AL,33.2533,-87.45
USC00014080,AL,32.2464,-85.4142
USC00014193,AL,31.5253,-87.9278
USC00014209,AL,33.8164,-85.7661
USC00014226,AL,33.9047,-87.3153
USC00014274,AL,32.3236,-86.7828
USC00014306,AL,32.6189,-86.2544
USC00014431,AL,31.2403,-86.1947
USC00014502,AL,32.9069,-85.4336
USC00014603,AL,32.9633,-86.5203
USC00014619,AL,33.5444,-86.5275
USC00014798,AL,32.5811,-88.1897
USC00014866,AL,33.4258,-86.3386
USC00015112,AL,32.7028,-87.2681
USC00015116,AL,32.4444,-87.1797
USC00015121,AL,32.4714,-87.2314
USC00015397,AL,32.0597,-85.4953
USC00015420,AL,32.1003,-87.3983
USC00015439,AL,32.4419,-85.8889
USC00015465,AL,32.8044,-86.4464
USC00015537,AL,33.0981,-86.8658
USC00015553,AL,32.26,-86.2181
USC00015635,AL,34.4883,-87.2989
USC00015658,AL,32.9964,-87.6319
USC00015752,AL,34.7889,-87.5394
USC00016000,AL,33.3264,-86.7561
USC00016121,AL,33.9478,-86.4692
USC00016129,AL,32.6592,-85.4492
USC00016196,AL,34.5528,-86.445
USC00016246,AL,33.745,-86.6417
USC00016334,AL,32.2258,-88.0281
USC00016436,AL,31.8817,-86.9861
USC00016478,AL,33.6906,-86.685
USC00016847,AL,33.3753,-88.02
USC00016988,AL,30.5653,-87.7017
USC00017020,AL,32.8711,-86.1758
USC00017025,AL,33.1581,-85.2911
USC00017131,AL,34.51,-87.7319
USC00017157,AL,34.1736,-86.8133
USC00017207,AL,34.2878,-85.9681
USC00017304,AL,34.6736,-86.0536
USC00017326,AL,32.3217,-85.1683
USC00017366,AL,32.4111,-87.0144
USC00017947,AL,33.8997,-88.1325
USC00017999,AL,33.2053,-86.2114
USC00018024,AL,33.4164,-86.135
USC00018038,AL,32.4392,-86.2025
